horizon,rmse,mae,mape_pct,p95_abs_error,count
1,36.94621707778595,17.66079725224557,14.661784244348581,85.80847473144526,7884
2,46.33705104539806,22.204394142846056,18.227752105970747,107.07834167480463,7884
3,51.67390223032672,24.92707642178013,20.287638383281518,125.06518554687472,7884
4,56.06698628556286,27.16387274498446,21.63537360142834,131.81598510742177,7884
5,59.83654905069589,29.03992481311223,23.071878313797825,142.16324462890609,7884
6,61.56491050548221,29.929098330842606,23.568521688625417,145.92275867462146,7884
7,62.93823477535614,30.66790830806268,23.927638255776316,148.18734817504873,7884
8,63.718708924626,31.011287382068154,24.07221437637083,150.70704650878898,7884
9,63.98845295960244,31.194678049275623,24.413852844773782,150.7306297302245,7884
10,63.86362848515588,31.220327495424836,24.418626241127797,149.79785156249997,7884
11,64.58624528030299,31.598229875651064,24.852385369095245,150.92143249511713,7884
12,64.53921626298455,31.32777374204133,24.56141095045598,152.65188903808587,7884
13,64.6921436693883,31.588326736475718,24.576254232585335,150.02729644775388,7884
14,64.42722033090779,31.434492756711354,24.337415733418155,150.69198150634762,7884
15,64.14564171926865,31.313290118611686,24.431890088535603,148.31716575622556,7884
16,63.844613213478816,31.250712256196305,24.24412037400102,148.47357482910152,7884
17,63.99055544968564,31.2076682828363,24.245911771584808,149.43842773437495,7884
18,64.32002111336338,31.450663447697593,24.27017479882879,148.47899475097645,7884
19,64.93456468188796,31.86060579991292,24.51537278317607,155.02243957519528,7884
20,64.798090780868,31.858886008015265,24.531439385936576,151.07457427978508,7884
21,65.07746426068111,31.90080576126555,24.19570036173039,150.67796173095684,7884
22,65.40514609790577,32.10719974843274,24.40608473162546,152.4042572021484,7884
23,65.19369005055088,31.923878278770403,24.35409337261444,152.2184844970699,7884
24,65.31235394106244,31.835320054471705,24.924865599211884,152.00377197265618,7884
