feature,importance_mean
cos_hour,0.10460239
sin_hour,0.08573399
ALLSKY_SFC_SW_DWN_lag_22,0.04378734
CLRSKY_SFC_SW_DWN_roll_mean_6,0.040662635
CLRSKY_SFC_SW_DWN_lag_6,0.034648545
ALLSKY_SFC_SW_DWN_lag_18,0.03438271
CLRSKY_SFC_SW_DWN_lag_2,0.031959783
CLRSKY_SFC_SW_DWN,0.031946737
ALLSKY_SFC_SW_DWN_lag_10,0.03184767
ALLSKY_SFC_SW_DWN_lag_13,0.031138793
ALLSKY_SFC_SW_DWN_lag_7,0.030401153
ALLSKY_SFC_SW_DWN_lag_19,0.030136079
CLRSKY_SFC_SW_DWN_lag_1,0.028926678
ALLSKY_SFC_SW_DWN_lag_20,0.028491205
ALLSKY_SFC_SW_DWN_lag_17,0.027775282
ALLSKY_SFC_SW_DWN_lag_5,0.027575368
CLRSKY_SFC_SW_DWN_lag_12,0.026575418
ALLSKY_SFC_SW_DWN_lag_11,0.02577091
ALLSKY_SFC_SW_DWN_lag_8,0.024073502
ALLSKY_SFC_SW_DWN_lag_23,0.023927182
CLRSKY_SFC_SW_DWN_roll_mean_3,0.020482525
ALLSKY_SFC_SW_DWN_lag_14,0.020038275
CLRSKY_SFC_SW_DWN_roll_max_6,0.01869284
ALLSKY_SFC_SW_DWN_roll_min_6,0.017780766
ALLSKY_SFC_SW_DWN_roll_mean_6,0.016087014
CLRSKY_SFC_SW_DWN_lag_3,0.015928684
ALLSKY_SFC_SW_DWN_lag_12,0.014082502
CLRSKY_SFC_SW_DWN_lag_24,0.0119184395
ALLSKY_SFC_SW_DWN_lag_9,0.011748192
ALLSKY_SFC_SW_DWN_lag_4,0.010351253
ALLSKY_SFC_SW_DWN_lag_16,0.009818547
ALLSKY_SFC_SW_DWN_lag_21,0.009374228
ALLSKY_SFC_SW_DWN_lag_6,0.008791115
ALLSKY_SFC_SW_DWN_roll_mean_3,0.008427667
ALLSKY_SFC_SW_DWN_lag_1,0.0077675916
CLRSKY_SFC_SW_DWN_roll_min_6,0.0074285544
ALLSKY_SFC_SW_DWN_lag_15,0.0032643816
ALLSKY_SFC_SW_DWN_roll_max_6,0.0028768268
RH2M_lag_12,0.002670156
ALLSKY_SFC_SW_DWN_lag_3,0.0021575529
CLOUD_AMT,0.0020698395
cos_month,0.0018028552
CLOUD_AMT_lag_1,0.0014850522
CLOUD_AMT_roll_mean_3,0.0014282869
ALLSKY_SFC_SW_DWN_lag_24,0.00127675
T2M_lag_3,0.0012426927
ALLSKY_SFC_SW_DWN_lag_2,0.0012410776
CLOUD_AMT_roll_min_6,0.001201459
CLOUD_AMT_roll_max_6,0.0011010418
CLOUD_AMT_roll_mean_6,0.0010840382
sin_month,0.0010702073
CLOUD_AMT_lag_2,0.001066535
PS_lag_12,0.00097153516
PS_lag_1,0.0009628331
RH2M_lag_1,0.0009579511
RH2M,0.0009536668
T2M_lag_1,0.0009432976
PS_lag_3,0.00092973677
PS_lag_2,0.00092323264
RH2M_lag_6,0.00091729127
T2M_lag_2,0.0009077317
CLOUD_AMT_lag_24,0.00090254634
RH2M_lag_2,0.00090138364
RH2M_lag_3,0.00090052065
CLOUD_AMT_lag_12,0.00089743634
PS_lag_6,0.00088876224
T2M_lag_6,0.00088326586
PS_lag_24,0.0008251567
T2M_lag_24,0.00081648165
RH2M_lag_24,0.00080476055
T2M_lag_12,0.00080408226
CLOUD_AMT_lag_3,0.00078349374
CLOUD_AMT_lag_6,0.00072704005
PS,0.00067386945
T2M,0.00060364
