feature,importance_mean
cos_hour,0.09879678
sin_hour,0.086524986
ALLSKY_SFC_SW_DWN_lag_7,0.038518548
ALLSKY_SFC_SW_DWN_lag_11,0.03686405
ALLSKY_SFC_SW_DWN_lag_10,0.036749985
ALLSKY_SFC_SW_DWN_lag_9,0.036102917
CLRSKY_SFC_SW_DWN_roll_mean_6,0.03601682
ALLSKY_SFC_SW_DWN_lag_19,0.033972435
CLRSKY_SFC_SW_DWN_lag_12,0.03294979
ALLSKY_SFC_SW_DWN_lag_21,0.031133259
CLRSKY_SFC_SW_DWN_lag_3,0.03060885
ALLSKY_SFC_SW_DWN_lag_13,0.030131971
ALLSKY_SFC_SW_DWN_lag_5,0.030015426
CLRSKY_SFC_SW_DWN_lag_1,0.02920197
CLRSKY_SFC_SW_DWN,0.028737536
CLRSKY_SFC_SW_DWN_lag_6,0.027442478
ALLSKY_SFC_SW_DWN_lag_18,0.026197344
ALLSKY_SFC_SW_DWN_lag_23,0.025832228
ALLSKY_SFC_SW_DWN_lag_22,0.025768386
ALLSKY_SFC_SW_DWN_lag_17,0.024222447
ALLSKY_SFC_SW_DWN_roll_min_6,0.024202317
CLRSKY_SFC_SW_DWN_roll_min_6,0.023781255
ALLSKY_SFC_SW_DWN_lag_15,0.022174256
ALLSKY_SFC_SW_DWN_roll_mean_6,0.01747729
CLRSKY_SFC_SW_DWN_roll_max_6,0.016662888
ALLSKY_SFC_SW_DWN_lag_24,0.010614253
CLRSKY_SFC_SW_DWN_roll_mean_3,0.0105747515
ALLSKY_SFC_SW_DWN_roll_max_6,0.00919696
ALLSKY_SFC_SW_DWN_lag_20,0.0085773105
ALLSKY_SFC_SW_DWN_lag_12,0.0071895667
CLRSKY_SFC_SW_DWN_lag_24,0.0071884263
ALLSKY_SFC_SW_DWN_lag_6,0.0071495404
ALLSKY_SFC_SW_DWN_lag_3,0.007104049
CLRSKY_SFC_SW_DWN_lag_2,0.006734067
ALLSKY_SFC_SW_DWN_lag_1,0.0066950102
ALLSKY_SFC_SW_DWN_lag_8,0.0062973
ALLSKY_SFC_SW_DWN_lag_16,0.005964214
ALLSKY_SFC_SW_DWN_lag_14,0.0045663635
ALLSKY_SFC_SW_DWN_roll_mean_3,0.003868967
ALLSKY_SFC_SW_DWN_lag_4,0.0034597244
ALLSKY_SFC_SW_DWN_lag_2,0.0022665735
CLOUD_AMT,0.0022116643
cos_month,0.0018582442
CLOUD_AMT_lag_1,0.0018366344
CLOUD_AMT_roll_mean_3,0.0016010053
CLOUD_AMT_roll_mean_6,0.0014150339
CLOUD_AMT_roll_min_6,0.0013967599
RH2M_lag_3,0.0013897292
RH2M_lag_6,0.0013348156
sin_month,0.001300444
CLOUD_AMT_roll_max_6,0.0012855055
RH2M_lag_1,0.0012734929
RH2M_lag_12,0.0012637806
PS_lag_6,0.0012611282
RH2M,0.0012606168
PS_lag_12,0.0012589764
T2M_lag_1,0.0012589577
PS_lag_1,0.0012423547
RH2M_lag_2,0.0012385155
PS_lag_2,0.0012336042
T2M_lag_2,0.0012190776
PS_lag_3,0.0012128743
CLOUD_AMT_lag_2,0.0011725542
T2M_lag_3,0.0011271845
T2M_lag_6,0.0011224804
CLOUD_AMT_lag_24,0.0010903075
CLOUD_AMT_lag_3,0.0010656399
RH2M_lag_24,0.0010478509
PS_lag_24,0.0010463042
T2M_lag_24,0.0010441795
T2M_lag_12,0.0009877936
CLOUD_AMT_lag_12,0.00094027905
CLOUD_AMT_lag_6,0.0009057341
PS,0.00081961806
T2M,0.0007435598
