feature,importance_mean
cos_hour,0.10711142
CLRSKY_SFC_SW_DWN_roll_mean_6,0.08019177
sin_hour,0.052391816
ALLSKY_SFC_SW_DWN_lag_5,0.04036905
CLRSKY_SFC_SW_DWN_lag_12,0.03875254
ALLSKY_SFC_SW_DWN_lag_21,0.037249092
CLRSKY_SFC_SW_DWN_roll_max_6,0.03611647
CLRSKY_SFC_SW_DWN_lag_1,0.033896822
ALLSKY_SFC_SW_DWN_lag_7,0.032264568
ALLSKY_SFC_SW_DWN_lag_11,0.031287696
ALLSKY_SFC_SW_DWN_lag_9,0.030842854
ALLSKY_SFC_SW_DWN_lag_17,0.029901095
ALLSKY_SFC_SW_DWN_lag_10,0.029818289
CLRSKY_SFC_SW_DWN,0.029692901
ALLSKY_SFC_SW_DWN_lag_19,0.029486304
ALLSKY_SFC_SW_DWN_lag_13,0.029074533
ALLSKY_SFC_SW_DWN_lag_23,0.027582513
CLRSKY_SFC_SW_DWN_roll_mean_3,0.025932116
ALLSKY_SFC_SW_DWN_lag_18,0.02447614
ALLSKY_SFC_SW_DWN_lag_22,0.02426447
CLRSKY_SFC_SW_DWN_lag_3,0.023936234
CLRSKY_SFC_SW_DWN_lag_24,0.023629123
CLRSKY_SFC_SW_DWN_lag_6,0.02208758
CLRSKY_SFC_SW_DWN_lag_2,0.021696
CLRSKY_SFC_SW_DWN_roll_min_6,0.013329453
ALLSKY_SFC_SW_DWN_roll_mean_3,0.0091304425
ALLSKY_SFC_SW_DWN_lag_1,0.008673756
ALLSKY_SFC_SW_DWN_lag_8,0.008381101
ALLSKY_SFC_SW_DWN_lag_16,0.008014599
ALLSKY_SFC_SW_DWN_lag_20,0.007800376
ALLSKY_SFC_SW_DWN_roll_mean_6,0.0071079587
ALLSKY_SFC_SW_DWN_lag_6,0.0066874237
ALLSKY_SFC_SW_DWN_lag_12,0.00617257
ALLSKY_SFC_SW_DWN_lag_24,0.0042134663
ALLSKY_SFC_SW_DWN_lag_15,0.0040591396
ALLSKY_SFC_SW_DWN_roll_max_6,0.00393873
ALLSKY_SFC_SW_DWN_lag_4,0.0033235066
ALLSKY_SFC_SW_DWN_lag_14,0.0029103702
ALLSKY_SFC_SW_DWN_roll_min_6,0.0023160223
ALLSKY_SFC_SW_DWN_lag_3,0.0019558172
CLOUD_AMT_lag_1,0.0017299381
CLOUD_AMT,0.0015602125
sin_month,0.0014297405
T2M_lag_1,0.00140495
ALLSKY_SFC_SW_DWN_lag_2,0.0014000897
CLOUD_AMT_roll_mean_3,0.0013413687
CLOUD_AMT_lag_12,0.0012869426
RH2M_lag_6,0.0012854993
CLOUD_AMT_roll_min_6,0.0012561287
RH2M_lag_3,0.0012464669
cos_month,0.0012207439
RH2M_lag_12,0.0011738896
RH2M_lag_1,0.0011685326
CLOUD_AMT_roll_max_6,0.0011550215
PS_lag_3,0.0011502035
T2M_lag_2,0.001146014
CLOUD_AMT_lag_24,0.0011415223
PS_lag_1,0.0011357398
PS_lag_2,0.0011172902
PS_lag_6,0.001114712
RH2M_lag_2,0.0011053883
CLOUD_AMT_lag_6,0.001087768
PS_lag_12,0.001079711
T2M_lag_3,0.0010479124
CLOUD_AMT_roll_mean_6,0.0010395803
T2M_lag_6,0.0009745655
RH2M,0.00095414085
T2M_lag_24,0.000943419
PS_lag_24,0.00093923503
T2M_lag_12,0.0009103736
RH2M_lag_24,0.0009026502
PS,0.00089115667
T2M,0.0008800099
CLOUD_AMT_lag_2,0.00086335273
CLOUD_AMT_lag_3,0.00084961083
