feature,importance_mean
sin_hour,0.09110809
CLRSKY_SFC_SW_DWN_roll_mean_6,0.07940323
cos_hour,0.04855685
ALLSKY_SFC_SW_DWN_lag_19,0.037787497
ALLSKY_SFC_SW_DWN_lag_11,0.0373067
ALLSKY_SFC_SW_DWN_lag_8,0.03512178
ALLSKY_SFC_SW_DWN_lag_5,0.034945026
CLRSKY_SFC_SW_DWN_roll_max_6,0.033361647
ALLSKY_SFC_SW_DWN_lag_21,0.033288114
ALLSKY_SFC_SW_DWN_lag_23,0.032754473
CLRSKY_SFC_SW_DWN_lag_1,0.03185979
ALLSKY_SFC_SW_DWN_lag_7,0.030032216
ALLSKY_SFC_SW_DWN_lag_22,0.029965734
ALLSKY_SFC_SW_DWN_lag_9,0.029697962
CLRSKY_SFC_SW_DWN_lag_12,0.028245347
ALLSKY_SFC_SW_DWN_lag_17,0.026474662
CLRSKY_SFC_SW_DWN_lag_2,0.025446253
ALLSKY_SFC_SW_DWN_lag_10,0.025257872
ALLSKY_SFC_SW_DWN_lag_20,0.02495727
CLRSKY_SFC_SW_DWN_lag_3,0.024882877
CLRSKY_SFC_SW_DWN_roll_mean_3,0.024805374
ALLSKY_SFC_SW_DWN_lag_13,0.021979578
CLRSKY_SFC_SW_DWN_roll_min_6,0.020876035
CLRSKY_SFC_SW_DWN_lag_24,0.018618757
CLRSKY_SFC_SW_DWN,0.018314786
ALLSKY_SFC_SW_DWN_lag_14,0.016991405
ALLSKY_SFC_SW_DWN_roll_mean_3,0.016411463
CLRSKY_SFC_SW_DWN_lag_6,0.01580919
ALLSKY_SFC_SW_DWN_lag_1,0.010432982
ALLSKY_SFC_SW_DWN_lag_16,0.008947265
ALLSKY_SFC_SW_DWN_lag_18,0.0069065727
ALLSKY_SFC_SW_DWN_lag_4,0.004977699
ALLSKY_SFC_SW_DWN_lag_24,0.004847119
ALLSKY_SFC_SW_DWN_roll_mean_6,0.0048336717
ALLSKY_SFC_SW_DWN_roll_min_6,0.0045627705
ALLSKY_SFC_SW_DWN_roll_max_6,0.004360488
ALLSKY_SFC_SW_DWN_lag_6,0.0033126604
ALLSKY_SFC_SW_DWN_lag_2,0.0029211824
ALLSKY_SFC_SW_DWN_lag_12,0.0027393529
ALLSKY_SFC_SW_DWN_lag_15,0.0027060232
ALLSKY_SFC_SW_DWN_lag_3,0.0023307984
cos_month,0.0020647852
CLOUD_AMT,0.0017453145
sin_month,0.0016062744
CLOUD_AMT_roll_max_6,0.0015097413
T2M_lag_3,0.0014891146
PS_lag_3,0.0014264515
CLOUD_AMT_roll_min_6,0.0013943926
T2M_lag_1,0.0013504671
CLOUD_AMT_lag_1,0.0013324618
PS_lag_6,0.0013234547
PS_lag_1,0.001305597
PS_lag_2,0.0013023404
CLOUD_AMT_lag_12,0.0012950945
CLOUD_AMT_roll_mean_3,0.0012537803
PS_lag_12,0.0012515321
T2M_lag_6,0.0012398463
CLOUD_AMT_roll_mean_6,0.0012181506
T2M_lag_2,0.0012039412
RH2M_lag_6,0.0011383774
RH2M_lag_12,0.001125256
CLOUD_AMT_lag_6,0.0011223559
RH2M_lag_24,0.001121889
RH2M_lag_3,0.0011113588
RH2M_lag_1,0.0010973549
RH2M_lag_2,0.0010721228
PS_lag_24,0.0010718589
CLOUD_AMT_lag_24,0.0010241588
T2M_lag_12,0.000997753
T2M_lag_24,0.0009781844
CLOUD_AMT_lag_3,0.0009732999
CLOUD_AMT_lag_2,0.0009690101
PS,0.0009687091
RH2M,0.0009678925
T2M,0.00080909836
