feature,importance_mean
sin_hour,0.071196
CLRSKY_SFC_SW_DWN_roll_mean_3,0.043939497
ALLSKY_SFC_SW_DWN_lag_21,0.042125013
ALLSKY_SFC_SW_DWN_lag_19,0.0398225
ALLSKY_SFC_SW_DWN_lag_9,0.036075536
ALLSKY_SFC_SW_DWN_lag_22,0.035784304
ALLSKY_SFC_SW_DWN_lag_11,0.03527449
ALLSKY_SFC_SW_DWN_lag_16,0.034475546
ALLSKY_SFC_SW_DWN_lag_10,0.033164505
CLRSKY_SFC_SW_DWN_lag_1,0.03205644
CLRSKY_SFC_SW_DWN_lag_12,0.031103147
ALLSKY_SFC_SW_DWN_lag_8,0.030975318
ALLSKY_SFC_SW_DWN_lag_5,0.030210108
ALLSKY_SFC_SW_DWN_lag_7,0.029891016
ALLSKY_SFC_SW_DWN_lag_20,0.028288634
ALLSKY_SFC_SW_DWN_lag_17,0.026206544
CLRSKY_SFC_SW_DWN_lag_3,0.02543318
ALLSKY_SFC_SW_DWN_lag_18,0.02520846
ALLSKY_SFC_SW_DWN_lag_13,0.02510489
CLRSKY_SFC_SW_DWN,0.024846286
ALLSKY_SFC_SW_DWN_lag_23,0.023776153
ALLSKY_SFC_SW_DWN_lag_4,0.021508878
cos_hour,0.020686029
ALLSKY_SFC_SW_DWN_roll_mean_6,0.020420851
ALLSKY_SFC_SW_DWN_lag_15,0.018684564
CLRSKY_SFC_SW_DWN_roll_mean_6,0.018183345
ALLSKY_SFC_SW_DWN_roll_min_6,0.017385086
ALLSKY_SFC_SW_DWN_roll_max_6,0.015588813
ALLSKY_SFC_SW_DWN_lag_14,0.015445586
ALLSKY_SFC_SW_DWN_roll_mean_3,0.015187219
CLRSKY_SFC_SW_DWN_lag_24,0.012789809
ALLSKY_SFC_SW_DWN_lag_24,0.011653866
CLRSKY_SFC_SW_DWN_lag_6,0.010805454
CLRSKY_SFC_SW_DWN_lag_2,0.009447493
ALLSKY_SFC_SW_DWN_lag_12,0.0084707765
ALLSKY_SFC_SW_DWN_lag_1,0.007084477
ALLSKY_SFC_SW_DWN_lag_3,0.006898043
ALLSKY_SFC_SW_DWN_lag_6,0.005472705
CLRSKY_SFC_SW_DWN_roll_min_6,0.005386679
CLRSKY_SFC_SW_DWN_roll_max_6,0.0036585208
CLOUD_AMT,0.0025677409
CLOUD_AMT_lag_1,0.0019185798
CLOUD_AMT_roll_mean_3,0.0018964083
PS_lag_3,0.0018186945
PS_lag_1,0.0017990427
PS_lag_2,0.0017196182
cos_month,0.0017149296
CLOUD_AMT_roll_mean_6,0.0016726264
PS_lag_6,0.001666841
RH2M_lag_3,0.0016599107
RH2M_lag_1,0.0016531119
PS_lag_12,0.0015836544
T2M_lag_6,0.0015759057
RH2M_lag_6,0.0015740474
RH2M_lag_12,0.0015339357
RH2M_lag_2,0.0015321105
RH2M,0.0015316164
CLOUD_AMT_roll_min_6,0.0014535409
T2M_lag_12,0.0014321664
T2M_lag_3,0.0013974332
ALLSKY_SFC_SW_DWN_lag_2,0.0013393466
PS,0.0012366263
CLOUD_AMT_roll_max_6,0.0012334657
CLOUD_AMT_lag_2,0.0012106444
CLOUD_AMT_lag_24,0.001186882
PS_lag_24,0.0011739193
RH2M_lag_24,0.0011053076
sin_month,0.0010898731
CLOUD_AMT_lag_12,0.0010888939
T2M_lag_24,0.0010861246
T2M_lag_1,0.001045578
T2M_lag_2,0.0010329055
CLOUD_AMT_lag_6,0.0010156737
CLOUD_AMT_lag_3,0.0010067967
T2M,0.00073030073
