feature,importance_mean
sin_hour,0.1267026
cos_hour,0.083910346
CLRSKY_SFC_SW_DWN_lag_12,0.034957696
ALLSKY_SFC_SW_DWN_lag_21,0.03464841
ALLSKY_SFC_SW_DWN_lag_11,0.034312997
ALLSKY_SFC_SW_DWN_lag_9,0.033899594
ALLSKY_SFC_SW_DWN_lag_5,0.033070814
ALLSKY_SFC_SW_DWN_lag_10,0.032668583
CLRSKY_SFC_SW_DWN,0.032529358
CLRSKY_SFC_SW_DWN_roll_max_6,0.032511327
CLRSKY_SFC_SW_DWN_roll_min_6,0.031754274
CLRSKY_SFC_SW_DWN_lag_2,0.030018799
ALLSKY_SFC_SW_DWN_lag_8,0.029711343
ALLSKY_SFC_SW_DWN_lag_22,0.028147614
CLRSKY_SFC_SW_DWN_roll_mean_6,0.027852364
ALLSKY_SFC_SW_DWN_lag_20,0.027753642
ALLSKY_SFC_SW_DWN_roll_mean_3,0.026487311
ALLSKY_SFC_SW_DWN_lag_23,0.026138322
CLRSKY_SFC_SW_DWN_lag_3,0.025821926
ALLSKY_SFC_SW_DWN_lag_17,0.02469409
CLRSKY_SFC_SW_DWN_roll_mean_3,0.021730075
ALLSKY_SFC_SW_DWN_roll_mean_6,0.021224529
ALLSKY_SFC_SW_DWN_lag_18,0.01978073
CLRSKY_SFC_SW_DWN_lag_24,0.017136721
CLRSKY_SFC_SW_DWN_lag_6,0.016685639
ALLSKY_SFC_SW_DWN_roll_min_6,0.0118839955
ALLSKY_SFC_SW_DWN_lag_15,0.011875685
ALLSKY_SFC_SW_DWN_lag_14,0.011684243
ALLSKY_SFC_SW_DWN_roll_max_6,0.011108411
ALLSKY_SFC_SW_DWN_lag_7,0.00907668
ALLSKY_SFC_SW_DWN_lag_19,0.007961546
ALLSKY_SFC_SW_DWN_lag_16,0.0074115694
ALLSKY_SFC_SW_DWN_lag_12,0.006001578
ALLSKY_SFC_SW_DWN_lag_3,0.0054586655
CLRSKY_SFC_SW_DWN_lag_1,0.004850813
ALLSKY_SFC_SW_DWN_lag_13,0.004381782
ALLSKY_SFC_SW_DWN_lag_6,0.0043408354
ALLSKY_SFC_SW_DWN_lag_24,0.0036795724
sin_month,0.003104589
cos_month,0.0028628663
ALLSKY_SFC_SW_DWN_lag_4,0.0021638458
ALLSKY_SFC_SW_DWN_lag_1,0.0019780565
CLOUD_AMT_lag_12,0.0018562522
CLOUD_AMT,0.0014613619
CLOUD_AMT_lag_1,0.0014249072
CLOUD_AMT_lag_24,0.001409363
CLOUD_AMT_roll_mean_3,0.0013520517
CLOUD_AMT_roll_max_6,0.0013046394
CLOUD_AMT_lag_6,0.001263268
CLOUD_AMT_roll_min_6,0.001213068
ALLSKY_SFC_SW_DWN_lag_2,0.0011730798
RH2M,0.0011418681
RH2M_lag_1,0.0011387265
CLOUD_AMT_roll_mean_6,0.0011286408
T2M_lag_1,0.0010729694
PS_lag_6,0.0010549655
T2M_lag_3,0.0010485462
PS_lag_1,0.0010435254
RH2M_lag_12,0.0010268285
RH2M_lag_2,0.0010205588
T2M_lag_12,0.0010167424
PS_lag_12,0.0010164047
RH2M_lag_6,0.0010131483
T2M_lag_2,0.0010066746
PS_lag_24,0.0009843947
RH2M_lag_3,0.0009777601
PS_lag_2,0.0009690761
T2M_lag_6,0.00095934136
CLOUD_AMT_lag_3,0.00092504575
RH2M_lag_24,0.0009244553
T2M_lag_24,0.00092114136
PS_lag_3,0.0009196066
CLOUD_AMT_lag_2,0.00091696327
PS,0.00071349996
T2M,0.0006273111
