feature,importance_mean
sin_hour,0.065128006
CLRSKY_SFC_SW_DWN_diff_3,0.06384135
clearsky_change_ratio_1,0.047281697
CLRSKY_SFC_SW_DWN_roll_mean_3,0.04542525
CLRSKY_SFC_SW_DWN_roll_mean_6,0.039694577
CLRSKY_SFC_SW_DWN_diff_1,0.03894921
ALLSKY_SFC_SW_DWN_lag_10,0.03685563
CLRSKY_SFC_SW_DWN_roll_std_6,0.035913963
ALLSKY_SFC_SW_DWN_lag_9,0.030541494
CLRSKY_SFC_SW_DWN_lag_1,0.026933027
ALLSKY_SFC_SW_DWN_lag_8,0.026794724
ALLSKY_SFC_SW_DWN_lag_21,0.025848158
cos_hour,0.025458707
ALLSKY_SFC_SW_DWN_lag_11,0.024899611
ALLSKY_SFC_SW_DWN_lag_22,0.024882728
ALLSKY_SFC_SW_DWN_lag_19,0.023787297
CLRSKY_SFC_SW_DWN_lag_12,0.021815686
CLRSKY_SFC_SW_DWN_lag_3,0.02095407
ALLSKY_SFC_SW_DWN_lag_20,0.019698586
ALLSKY_SFC_SW_DWN_lag_13,0.01853119
ALLSKY_SFC_SW_DWN_roll_mean_6,0.018475574
ALLSKY_SFC_SW_DWN_lag_17,0.018269347
ALLSKY_SFC_SW_DWN_lag_14,0.016311657
ALLSKY_SFC_SW_DWN_lag_15,0.015947571
CLRSKY_SFC_SW_DWN_roll_max_6,0.014824789
ALLSKY_SFC_SW_DWN_lag_18,0.014567912
ALLSKY_SFC_SW_DWN_roll_min_6,0.014112494
CLRSKY_SFC_SW_DWN_roll_std_3,0.01068535
ALLSKY_SFC_SW_DWN_roll_max_6,0.0101313125
ALLSKY_SFC_SW_DWN_lag_1,0.0095972605
ALLSKY_SFC_SW_DWN_diff_3,0.009510595
ALLSKY_SFC_SW_DWN_lag_12,0.008568477
CLRSKY_SFC_SW_DWN_lag_6,0.008058263
CLRSKY_SFC_SW_DWN_lag_2,0.007928918
ALLSKY_SFC_SW_DWN_lag_3,0.00717573
PS_diff_3,0.0071203145
ALLSKY_SFC_SW_DWN_lag_5,0.007001449
PS_diff_1,0.0067062913
CLRSKY_SFC_SW_DWN,0.0066247955
CLRSKY_SFC_SW_DWN_roll_min_6,0.0065076556
ALLSKY_SFC_SW_DWN_lag_7,0.0063152616
is_morning_ramp,0.0057158857
ALLSKY_SFC_SW_DWN_roll_mean_3,0.0053155497
ALLSKY_SFC_SW_DWN_diff_1,0.0047641257
irradiance_to_clearsky_ratio_lag_1,0.0044551264
CLRSKY_SFC_SW_DWN_lag_24,0.0042143525
irradiance_to_clearsky_gap_lag_1,0.0039657964
ALLSKY_SFC_SW_DWN_lag_23,0.0038724153
ALLSKY_SFC_SW_DWN_lag_4,0.0035530133
CLOUD_AMT,0.003463138
target_change_ratio_1,0.0030692155
ALLSKY_SFC_SW_DWN_lag_16,0.0030497701
ALLSKY_SFC_SW_DWN_lag_24,0.0025422976
ALLSKY_SFC_SW_DWN_roll_std_6,0.0024993483
RH2M,0.0024764566
ALLSKY_SFC_SW_DWN_lag_6,0.002084641
cloud_clearsky_interaction,0.0020683312
RH2M_lag_6,0.0019252669
is_evening_ramp,0.0018813531
cos_month,0.0018710435
RH2M_lag_12,0.0018577697
T2M_diff_3,0.0018225488
sin_month,0.0016081898
ALLSKY_SFC_SW_DWN_lag_2,0.0016000535
RH2M_lag_1,0.001588589
RH2M_lag_2,0.0015416
RH2M_lag_3,0.0015351103
CLOUD_AMT_roll_max_6,0.0014845688
humidity_temp_interaction,0.0014545979
T2M_lag_12,0.0014461147
ALLSKY_SFC_SW_DWN_roll_std_3,0.001415047
CLOUD_AMT_lag_1,0.001410676
T2M_diff_1,0.0014036611
CLOUD_AMT_roll_min_6,0.0013222182
CLOUD_AMT_roll_mean_6,0.0012844186
CLOUD_AMT_roll_mean_3,0.001243624
PS_lag_3,0.001216173
T2M_lag_24,0.0012160689
PS_lag_12,0.0012109098
PS_lag_2,0.0011348235
PS_lag_1,0.0011274148
PS_lag_6,0.001123635
T2M_lag_6,0.0011108222
CLOUD_AMT_lag_2,0.0011004094
RH2M_diff_3,0.0010700249
PS,0.0010316548
CLOUD_AMT_lag_24,0.0010254942
PS_lag_24,0.0010123937
CLOUD_AMT_lag_12,0.0009801931
CLOUD_AMT_lag_3,0.0009796276
CLOUD_AMT_roll_std_6,0.00097328075
T2M_lag_3,0.0009567178
RH2M_lag_24,0.0009518801
T2M_lag_1,0.0009378111
CLOUD_AMT_lag_6,0.00091479934
RH2M_diff_1,0.00090673246
CLOUD_AMT_roll_std_3,0.0008995962
T2M,0.0008893235
CLOUD_AMT_diff_3,0.0008872757
T2M_lag_2,0.00086598424
CLOUD_AMT_diff_1,0.0008443566
is_daylight_lag_1,0.00015072084
