-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -6.8955   Longitude 107.6201 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 921.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,19.11
2019,1,1,1,0.0,0.0,19.01
2019,1,1,2,0.0,0.0,18.91
2019,1,1,3,0.0,0.0,18.82
2019,1,1,4,0.0,0.0,18.82
2019,1,1,5,2.45,3.5,18.8
2019,1,1,6,77.03,117.82,19.89
2019,1,1,7,141.75,367.15,21.3
2019,1,1,8,261.52,599.95,22.75
2019,1,1,9,443.8,792.65,23.98
2019,1,1,10,332.98,925.62,24.66
2019,1,1,11,270.98,994.97,25.05
2019,1,1,12,438.12,988.17,24.58
2019,1,1,13,464.62,907.95,24.13
2019,1,1,14,401.12,757.83,23.54
2019,1,1,15,323.48,555.25,22.91
2019,1,1,16,176.25,317.62,22.2
2019,1,1,17,45.65,85.5,21.34
2019,1,1,18,0.0,0.0,20.63
2019,1,1,19,0.0,0.0,20.26
2019,1,1,20,0.0,0.0,19.87
2019,1,1,21,0.0,0.0,19.64
2019,1,1,22,0.0,0.0,19.53
2019,1,1,23,0.0,0.0,19.39
2019,1,2,0,0.0,0.0,19.27
2019,1,2,1,0.0,0.0,19.12
2019,1,2,2,0.0,0.0,19.01
2019,1,2,3,0.0,0.0,18.97
2019,1,2,4,0.0,0.0,18.94
2019,1,2,5,2.88,3.42,18.92
2019,1,2,6,101.32,122.82,19.99
2019,1,2,7,282.75,358.3,21.02
2019,1,2,8,454.85,589.3,22.13
2019,1,2,9,636.65,783.83,23.04
2019,1,2,10,800.38,920.75,23.7
2019,1,2,11,830.42,978.08,24.17
