-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -7.1681   Longitude 111.8377 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 71.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,25.42
2019,1,1,1,0.0,0.0,25.29
2019,1,1,2,0.0,0.0,25.2
2019,1,1,3,0.0,0.0,25.15
2019,1,1,4,0.0,0.0,25.13
2019,1,1,5,10.62,16.25,25.17
2019,1,1,6,105.45,183.3,25.73
2019,1,1,7,306.2,432.27,26.5
2019,1,1,8,520.83,658.58,27.26
2019,1,1,9,683.05,834.75,28.06
2019,1,1,10,748.15,952.72,28.64
2019,1,1,11,744.38,983.42,28.95
2019,1,1,12,644.3,953.65,28.98
2019,1,1,13,524.05,853.22,28.86
2019,1,1,14,383.2,690.47,28.61
2019,1,1,15,260.15,477.25,28.22
2019,1,1,16,123.47,240.18,27.63
2019,1,1,17,19.7,37.8,26.72
2019,1,1,18,0.0,0.0,26.15
2019,1,1,19,0.0,0.0,25.98
2019,1,1,20,0.0,0.0,25.86
2019,1,1,21,0.0,0.0,25.79
2019,1,1,22,0.0,0.0,25.65
2019,1,1,23,0.0,0.0,25.45
2019,1,2,0,0.0,0.0,25.3
2019,1,2,1,0.0,0.0,25.18
2019,1,2,2,0.0,0.0,25.0
2019,1,2,3,0.0,0.0,24.73
2019,1,2,4,0.0,0.0,24.45
2019,1,2,5,12.45,15.43,24.3
2019,1,2,6,139.62,183.32,24.72
2019,1,2,7,324.6,425.27,25.34
2019,1,2,8,515.97,650.12,25.76
2019,1,2,9,655.6,830.7,26.2
2019,1,2,10,828.72,953.12,26.77
2019,1,2,11,790.45,1001.97,27.38
2019,1,2,12,604.35,975.17,27.82
2019,1,2,13,417.0,873.05,27.96
2019,1,2,14,303.2,706.75,27.72
2019,1,2,15,162.77,488.55,27.22
2019,1,2,16,80.5,245.12,26.65
2019,1,2,17,13.5,38.78,26.01
2019,1,2,18,0.0,0.0,25.66
2019,1,2,19,0.0,0.0,25.58
2019,1,2,20,0.0,0.0,25.52
2019,1,2,21,0.0,0.0,25.51
2019,1,2,22,0.0,0.0,25.51
2019,1,2,23,0.0,0.0,25.49
2019,1,3,0,0.0,0.0,25.46
2019,1,3,1,0.0,0.0,25.41
2019,1,3,2,0.0,0.0,25.41
2019,1,3,3,0.0,0.0,25.37
2019,1,3,4,0.0,0.0,25.29
2019,1,3,5,8.95,14.4,25.13
2019,1,3,6,86.8,175.93,25.29
2019,1,3,7,215.98,413.12,25.5
2019,1,3,8,364.98,640.35,25.81
2019,1,3,9,477.92,826.15,26.32
2019,1,3,10,492.73,947.75,26.9
2019,1,3,11,505.67,995.85,27.44
2019,1,3,12,425.23,968.6,27.67
2019,1,3,13,386.02,869.33,27.77
2019,1,3,14,299.85,705.15,27.58
2019,1,3,15,181.5,491.08,27.24
2019,1,3,16,96.82,251.12,26.72
2019,1,3,17,18.7,41.47,26.0
2019,1,3,18,0.0,0.0,25.52
2019,1,3,19,0.0,0.0,25.37
2019,1,3,20,0.0,0.0,25.26
2019,1,3,21,0.0,0.0,25.19
2019,1,3,22,0.0,0.0,25.14
2019,1,3,23,0.0,0.0,25.04
2019,1,4,0,0.0,0.0,24.93
2019,1,4,1,0.0,0.0,24.92
2019,1,4,2,0.0,0.0,24.89
2019,1,4,3,0.0,0.0,24.8
2019,1,4,4,0.0,0.0,24.71
2019,1,4,5,12.62,15.25,24.79
2019,1,4,6,127.97,184.77,25.83
2019,1,4,7,261.88,424.6,26.71
2019,1,4,8,440.35,655.45,27.43
2019,1,4,9,657.65,837.75,28.09
2019,1,4,10,864.85,957.97,28.54
2019,1,4,11,857.78,986.75,28.78
2019,1,4,12,763.72,961.4,28.91
2019,1,4,13,563.58,862.42,28.72
2019,1,4,14,497.75,696.85,28.23
2019,1,4,15,332.3,482.73,27.78
2019,1,4,16,171.5,247.43,27.23
2019,1,4,17,30.0,41.12,26.35
2019,1,4,18,0.0,0.0,25.77
2019,1,4,19,0.0,0.0,25.62
2019,1,4,20,0.0,0.0,25.52
2019,1,4,21,0.0,0.0,25.44
2019,1,4,22,0.0,0.0,25.34
2019,1,4,23,0.0,0.0,25.22
2019,1,5,0,0.0,0.0,25.08
2019,1,5,1,0.0,0.0,25.03
2019,1,5,2,0.0,0.0,25.01
2019,1,5,3,0.0,0.0,25.04
2019,1,5,4,0.0,0.0,25.19
2019,1,5,5,13.15,14.6,25.44
2019,1,5,6,147.9,183.85,26.76
2019,1,5,7,358.88,426.17,27.82
2019,1,5,8,564.38,653.12,28.63
2019,1,5,9,741.0,835.9,29.41
2019,1,5,10,822.2,956.7,29.93
2019,1,5,11,850.53,967.38,30.25
2019,1,5,12,742.55,938.38,30.37
2019,1,5,13,669.72,838.1,30.33
2019,1,5,14,543.05,675.08,30.13
2019,1,5,15,353.58,462.35,29.69
2019,1,5,16,166.95,230.0,29.01
2019,1,5,17,31.12,38.62,27.93
2019,1,5,18,0.0,0.0,27.04
2019,1,5,19,0.0,0.0,26.87
2019,1,5,20,0.0,0.0,26.85
2019,1,5,21,0.0,0.0,26.8
2019,1,5,22,0.0,0.0,26.65
2019,1,5,23,0.0,0.0,26.4
2019,1,6,0,0.0,0.0,26.07
2019,1,6,1,0.0,0.0,25.73
2019,1,6,2,0.0,0.0,25.47
2019,1,6,3,0.0,0.0,25.31
2019,1,6,4,0.0,0.0,25.21
2019,1,6,5,12.0,13.25,25.21
2019,1,6,6,156.27,171.32,26.07
2019,1,6,7,368.0,404.2,27.25
2019,1,6,8,591.3,630.1,28.28
2019,1,6,9,719.8,814.78,29.23
2019,1,6,10,860.92,937.45,29.98
2019,1,6,11,889.2,994.78,30.45
2019,1,6,12,861.55,969.88,30.76
2019,1,6,13,701.6,869.72,30.8
2019,1,6,14,545.03,705.38,30.57
2019,1,6,15,341.48,493.7,30.11
2019,1,6,16,168.27,252.85,29.38
2019,1,6,17,31.4,43.28,28.27
2019,1,6,18,0.0,0.0,27.26
2019,1,6,19,0.0,0.0,26.91
2019,1,6,20,0.0,0.0,26.69
2019,1,6,21,0.0,0.0,26.67
2019,1,6,22,0.0,0.0,26.75
2019,1,6,23,0.0,0.0,26.7
2019,1,7,0,0.0,0.0,26.58
2019,1,7,1,0.0,0.0,26.48
2019,1,7,2,0.0,0.0,26.27
2019,1,7,3,0.0,0.0,26.15
2019,1,7,4,0.0,0.0,26.01
2019,1,7,5,11.3,12.9,25.93
2019,1,7,6,144.27,172.95,26.86
2019,1,7,7,327.33,408.95,27.87
2019,1,7,8,537.78,635.88,28.8
2019,1,7,9,697.83,819.78,29.51
2019,1,7,10,830.6,941.97,30.09
2019,1,7,11,784.15,960.78,30.56
2019,1,7,12,690.55,936.17,30.83
2019,1,7,13,447.25,844.45,30.92
2019,1,7,14,407.6,671.95,30.8
2019,1,7,15,145.7,464.73,30.37
2019,1,7,16,99.22,230.4,29.89
2019,1,7,17,13.62,38.67,28.81
2019,1,7,18,0.0,0.0,27.9
2019,1,7,19,0.0,0.0,27.41
2019,1,7,20,0.0,0.0,27.01
2019,1,7,21,0.0,0.0,26.62
2019,1,7,22,0.0,0.0,26.11
2019,1,7,23,0.0,0.0,25.74
2019,1,8,0,0.0,0.0,25.55
2019,1,8,1,0.0,0.0,25.49
2019,1,8,2,0.0,0.0,25.39
2019,1,8,3,0.0,0.0,25.34
2019,1,8,4,0.0,0.0,25.28
2019,1,8,5,11.57,12.0,25.28
2019,1,8,6,159.27,163.7,25.97
2019,1,8,7,362.77,397.05,26.7
2019,1,8,8,592.28,624.75,27.57
2019,1,8,9,749.22,811.53,28.43
2019,1,8,10,855.17,936.62,29.18
2019,1,8,11,881.65,979.45,29.72
2019,1,8,12,772.22,954.42,30.08
2019,1,8,13,678.47,855.75,30.35
2019,1,8,14,578.5,690.83,30.52
