-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -8.1081   Longitude 115.0888 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 74.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,27.29
2019,1,1,1,0.0,0.0,27.3
2019,1,1,2,0.0,0.0,27.34
2019,1,1,3,0.0,0.0,27.42
2019,1,1,4,0.0,0.0,27.55
2019,1,1,5,0.0,0.0,27.7
2019,1,1,6,33.72,43.33,27.82
2019,1,1,7,191.52,244.82,27.97
2019,1,1,8,331.25,502.12,28.13
2019,1,1,9,577.17,716.42,28.35
2019,1,1,10,598.78,879.92,28.59
2019,1,1,11,652.42,979.33,28.73
2019,1,1,12,645.53,1006.7,28.76
2019,1,1,13,565.9,959.4,28.78
2019,1,1,14,491.6,841.47,28.82
2019,1,1,15,360.98,662.15,28.79
2019,1,1,16,219.9,438.05,28.68
2019,1,1,17,96.1,196.3,28.52
2019,1,1,18,8.2,17.33,28.3
2019,1,1,19,0.0,0.0,28.12
2019,1,1,20,0.0,0.0,27.98
2019,1,1,21,0.0,0.0,27.86
2019,1,1,22,0.0,0.0,27.72
2019,1,1,23,0.0,0.0,27.57
2019,1,2,0,0.0,0.0,27.46
2019,1,2,1,0.0,0.0,27.31
2019,1,2,2,0.0,0.0,27.27
2019,1,2,3,0.0,0.0,27.3
2019,1,2,4,0.0,0.0,27.26
2019,1,2,5,0.0,0.0,27.22
2019,1,2,6,15.12,44.15,27.27
2019,1,2,7,94.03,250.77,27.38
2019,1,2,8,188.18,489.77,27.5
2019,1,2,9,297.0,705.3,27.63
