-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -8.2093   Longitude 113.0686 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 376.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,24.18
2019,1,1,1,0.0,0.0,23.89
2019,1,1,2,0.0,0.0,23.66
2019,1,1,3,0.0,0.0,23.41
2019,1,1,4,0.0,0.0,23.23
2019,1,1,5,0.0,0.0,23.08
2019,1,1,6,20.2,28.45,23.36
2019,1,1,7,161.55,215.25,24.74
2019,1,1,8,413.88,468.35,25.98
2019,1,1,9,633.8,689.33,27.25
2019,1,1,10,724.38,861.15,28.21
2019,1,1,11,905.85,963.22,28.78
2019,1,1,12,759.67,1002.03,28.45
2019,1,1,13,705.53,966.5,28.03
2019,1,1,14,499.12,854.47,27.81
2019,1,1,15,424.38,680.15,27.75
2019,1,1,16,280.83,458.08,27.55
2019,1,1,17,116.72,216.73,26.97
2019,1,1,18,11.6,26.65,26.02
2019,1,1,19,0.0,0.0,25.38
2019,1,1,20,0.0,0.0,25.05
2019,1,1,21,0.0,0.0,24.77
2019,1,1,22,0.0,0.0,24.57
2019,1,1,23,0.0,0.0,24.38
2019,1,2,0,0.0,0.0,24.21
2019,1,2,1,0.0,0.0,24.05
2019,1,2,2,0.0,0.0,23.87
2019,1,2,3,0.0,0.0,23.67
2019,1,2,4,0.0,0.0,23.42
2019,1,2,5,0.0,0.0,23.21
2019,1,2,6,19.48,27.58,23.26
2019,1,2,7,148.38,215.0,24.03
2019,1,2,8,329.85,455.48,24.67
