-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -6.7127   Longitude 108.5649 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 8.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,27.42
2019,1,1,1,0.0,0.0,27.27
2019,1,1,2,0.0,0.0,27.2
2019,1,1,3,0.0,0.0,27.12
2019,1,1,4,0.0,0.0,27.07
2019,1,1,5,3.33,5.3,27.06
2019,1,1,6,88.78,128.15,27.31
2019,1,1,7,265.05,371.67,27.6
2019,1,1,8,468.95,600.75,28.06
2019,1,1,9,509.62,789.97,28.48
2019,1,1,10,423.08,920.42,28.72
2019,1,1,11,366.0,948.0,28.8
2019,1,1,12,317.85,940.55,28.78
2019,1,1,13,416.1,859.47,28.64
2019,1,1,14,322.92,704.78,28.48
2019,1,1,15,260.17,496.9,28.36
2019,1,1,16,138.82,265.5,28.26
2019,1,1,17,31.52,58.9,28.11
2019,1,1,18,0.0,0.0,27.98
2019,1,1,19,0.0,0.0,27.98
2019,1,1,20,0.0,0.0,28.01
2019,1,1,21,0.0,0.0,28.05
2019,1,1,22,0.0,0.0,27.99
2019,1,1,23,0.0,0.0,27.81
2019,1,2,0,0.0,0.0,27.62
2019,1,2,1,0.0,0.0,27.46
2019,1,2,2,0.0,0.0,27.2
2019,1,2,3,0.0,0.0,27.0
2019,1,2,4,0.0,0.0,26.92
2019,1,2,5,4.5,5.07,26.98
2019,1,2,6,122.32,132.35,27.26
2019,1,2,7,316.98,364.52,27.55
2019,1,2,8,531.2,595.83,27.98
2019,1,2,9,684.78,788.47,28.47
2019,1,2,10,820.17,923.65,28.95
2019,1,2,11,854.95,981.05,29.33
2019,1,2,12,796.42,968.12,29.55
2019,1,2,13,628.1,880.8,29.6
2019,1,2,14,487.0,723.33,29.57
2019,1,2,15,329.73,512.65,29.54
2019,1,2,16,168.23,273.5,29.44
2019,1,2,17,40.85,60.42,29.23
2019,1,2,18,0.0,0.0,28.98
2019,1,2,19,0.0,0.0,28.83
2019,1,2,20,0.0,0.0,28.7
2019,1,2,21,0.0,0.0,28.58
