-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -8.194   Longitude 114.7793 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 74.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,27.29
2019,1,1,1,0.0,0.0,27.3
2019,1,1,2,0.0,0.0,27.34
2019,1,1,3,0.0,0.0,27.42
2019,1,1,4,0.0,0.0,27.55
2019,1,1,5,0.0,0.0,27.7
2019,1,1,6,30.0,35.22,27.82
2019,1,1,7,176.27,229.62,27.97
2019,1,1,8,377.1,481.1,28.13
2019,1,1,9,584.9,698.6,28.35
2019,1,1,10,644.5,865.85,28.59
2019,1,1,11,704.03,969.4,28.73
2019,1,1,12,700.83,1000.08,28.76
2019,1,1,13,635.85,956.7,28.78
2019,1,1,14,538.8,841.03,28.82
2019,1,1,15,401.92,663.7,28.79
2019,1,1,16,230.57,440.2,28.68
2019,1,1,17,111.68,200.15,28.52
2019,1,1,18,9.93,20.88,28.3
2019,1,1,19,0.0,0.0,28.12
2019,1,1,20,0.0,0.0,27.98
2019,1,1,21,0.0,0.0,27.86
2019,1,1,22,0.0,0.0,27.72
2019,1,1,23,0.0,0.0,27.57
2019,1,2,0,0.0,0.0,27.46
2019,1,2,1,0.0,0.0,27.31
2019,1,2,2,0.0,0.0,27.27
2019,1,2,3,0.0,0.0,27.3
2019,1,2,4,0.0,0.0,27.26
2019,1,2,5,0.0,0.0,27.22
2019,1,2,6,18.62,34.08,27.27
2019,1,2,7,113.45,228.85,27.38
2019,1,2,8,239.32,468.12,27.5
2019,1,2,9,463.55,686.1,27.63
