-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -6.2   Longitude 106.8 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 12.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,25.7
2019,1,1,1,0.0,0.0,25.72
2019,1,1,2,0.0,0.0,25.75
2019,1,1,3,0.0,0.0,25.78
2019,1,1,4,0.0,0.0,25.81
2019,1,1,5,0.0,0.0,25.81
2019,1,1,6,60.67,109.47,26.32
2019,1,1,7,109.65,350.55,27.05
2019,1,1,8,199.48,585.92,27.78
2019,1,1,9,377.27,782.58,28.2
2019,1,1,10,416.08,921.0,28.35
2019,1,1,11,441.0,995.45,28.41
2019,1,1,12,473.75,994.05,28.45
2019,1,1,13,501.9,917.6,28.45
2019,1,1,14,372.05,771.9,28.43
2019,1,1,15,236.12,571.8,28.32
2019,1,1,16,140.5,334.8,28.05
2019,1,1,17,40.25,101.07,27.46
2019,1,1,18,0.0,0.0,26.84
2019,1,1,19,0.0,0.0,26.51
2019,1,1,20,0.0,0.0,26.16
2019,1,1,21,0.0,0.0,25.86
2019,1,1,22,0.0,0.0,25.66
2019,1,1,23,0.0,0.0,25.49
2019,1,2,0,0.0,0.0,25.4
2019,1,2,1,0.0,0.0,25.34
2019,1,2,2,0.0,0.0,25.28
2019,1,2,3,0.0,0.0,25.25
2019,1,2,4,0.0,0.0,25.23
2019,1,2,5,0.0,0.0,25.21
2019,1,2,6,86.72,114.85,25.95
2019,1,2,7,237.75,343.3,26.74
2019,1,2,8,401.92,577.5,27.56
2019,1,2,9,598.38,776.33,28.2
2019,1,2,10,670.97,918.12,28.73
2019,1,2,11,723.42,980.2,29.23
2019,1,2,12,722.08,979.58,29.6
2019,1,2,13,614.85,899.3,29.92
2019,1,2,14,497.48,751.28,30.06
2019,1,2,15,320.92,545.03,29.95
2019,1,2,16,179.27,313.1,29.41
2019,1,2,17,47.67,90.97,28.37
2019,1,2,18,0.0,0.0,27.26
2019,1,2,19,0.0,0.0,26.76
2019,1,2,20,0.0,0.0,26.38
2019,1,2,21,0.0,0.0,26.2
2019,1,2,22,0.0,0.0,26.09
2019,1,2,23,0.0,0.0,25.98
2019,1,3,0,0.0,0.0,25.86
2019,1,3,1,0.0,0.0,25.71
2019,1,3,2,0.0,0.0,25.58
2019,1,3,3,0.0,0.0,25.5
2019,1,3,4,0.0,0.0,25.39
2019,1,3,5,0.0,0.0,25.28
2019,1,3,6,71.12,114.9,25.95
2019,1,3,7,205.05,342.83,26.91
2019,1,3,8,356.4,570.03,27.93
2019,1,3,9,595.67,768.92,28.79
2019,1,3,10,681.2,905.92,29.56
2019,1,3,11,709.55,964.3,30.13
2019,1,3,12,729.12,971.65,30.44
2019,1,3,13,643.7,890.17,30.55
2019,1,3,14,668.3,751.0,30.49
2019,1,3,15,437.67,556.92,30.23
2019,1,3,16,260.75,329.15,29.67
2019,1,3,17,84.85,101.68,28.64
2019,1,3,18,0.0,0.0,27.54
2019,1,3,19,0.0,0.0,26.98
2019,1,3,20,0.0,0.0,26.52
2019,1,3,21,0.0,0.0,26.22
2019,1,3,22,0.0,0.0,25.96
2019,1,3,23,0.0,0.0,25.71
2019,1,4,0,0.0,0.0,25.51
2019,1,4,1,0.0,0.0,25.35
2019,1,4,2,0.0,0.0,25.23
2019,1,4,3,0.0,0.0,25.14
2019,1,4,4,0.0,0.0,25.08
2019,1,4,5,0.0,0.0,25.05
2019,1,4,6,99.8,111.82,25.79
2019,1,4,7,318.02,344.45,26.88
2019,1,4,8,527.3,582.58,28.31
2019,1,4,9,721.62,785.65,29.55
2019,1,4,10,808.42,928.28,30.34
2019,1,4,11,910.4,988.65,30.84
2019,1,4,12,832.22,987.3,31.16
2019,1,4,13,751.75,909.17,31.21
2019,1,4,14,614.62,762.15,31.07
2019,1,4,15,498.15,563.85,30.79
2019,1,4,16,282.83,328.35,30.16
2019,1,4,17,84.05,100.6,29.16
2019,1,4,18,0.0,0.0,27.98
2019,1,4,19,0.0,0.0,27.47
2019,1,4,20,0.0,0.0,27.02
2019,1,4,21,0.0,0.0,26.6
2019,1,4,22,0.0,0.0,26.21
2019,1,4,23,0.0,0.0,25.94
2019,1,5,0,0.0,0.0,25.76
2019,1,5,1,0.0,0.0,25.58
2019,1,5,2,0.0,0.0,25.43
2019,1,5,3,0.0,0.0,25.32
2019,1,5,4,0.0,0.0,25.26
2019,1,5,5,0.0,0.0,25.18
2019,1,5,6,88.28,104.97,25.94
2019,1,5,7,279.05,323.5,27.06
2019,1,5,8,486.35,563.8,28.57
2019,1,5,9,732.05,765.25,29.74
2019,1,5,10,778.83,902.33,30.39
2019,1,5,11,701.53,934.6,30.79
2019,1,5,12,663.35,943.45,30.91
2019,1,5,13,671.95,886.9,30.8
2019,1,5,14,546.65,745.65,30.52
2019,1,5,15,395.25,547.5,30.15
2019,1,5,16,221.82,314.9,29.63
2019,1,5,17,65.5,94.3,28.67
2019,1,5,18,0.0,0.0,27.61
2019,1,5,19,0.0,0.0,27.34
2019,1,5,20,0.0,0.0,27.15
2019,1,5,21,0.0,0.0,27.06
2019,1,5,22,0.0,0.0,27.02
2019,1,5,23,0.0,0.0,26.82
2019,1,6,0,0.0,0.0,26.75
2019,1,6,1,0.0,0.0,26.57
2019,1,6,2,0.0,0.0,26.22
2019,1,6,3,0.0,0.0,25.99
2019,1,6,4,0.0,0.0,25.78
2019,1,6,5,0.0,0.0,25.62
2019,1,6,6,87.55,93.88,26.42
2019,1,6,7,289.05,292.83,27.51
2019,1,6,8,517.1,522.83,28.44
2019,1,6,9,633.85,732.22,29.15
