-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -6.5272   Longitude 110.7198 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 40.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,27.88
2019,1,1,1,0.0,0.0,27.95
2019,1,1,2,0.0,0.0,27.9
2019,1,1,3,0.0,0.0,27.73
2019,1,1,4,0.0,0.0,27.49
2019,1,1,5,5.55,10.6,27.31
2019,1,1,6,87.07,158.82,27.6
2019,1,1,7,202.9,400.83,27.84
2019,1,1,8,344.8,626.55,28.02
2019,1,1,9,489.85,809.25,28.01
2019,1,1,10,552.45,931.22,27.86
2019,1,1,11,572.3,957.9,27.74
2019,1,1,12,544.8,934.15,27.66
2019,1,1,13,407.38,840.97,27.59
2019,1,1,14,349.12,684.3,27.55
2019,1,1,15,214.65,476.67,27.64
2019,1,1,16,80.57,244.0,27.71
2019,1,1,17,15.3,41.55,27.66
2019,1,1,18,0.0,0.0,27.66
2019,1,1,19,0.0,0.0,27.78
2019,1,1,20,0.0,0.0,27.84
2019,1,1,21,0.0,0.0,27.82
2019,1,1,22,0.0,0.0,27.67
2019,1,1,23,0.0,0.0,27.49
2019,1,2,0,0.0,0.0,27.32
2019,1,2,1,0.0,0.0,27.22
2019,1,2,2,0.0,0.0,27.22
2019,1,2,3,0.0,0.0,27.18
2019,1,2,4,0.0,0.0,26.99
2019,1,2,5,6.3,9.95,26.82
2019,1,2,6,99.45,157.5,26.97
2019,1,2,7,236.43,393.73,27.19
2019,1,2,8,360.35,617.55,27.34
2019,1,2,9,551.3,805.25,27.53
2019,1,2,10,670.67,926.55,27.67
2019,1,2,11,694.67,980.62,27.77
2019,1,2,12,722.0,960.0,27.86
2019,1,2,13,655.92,864.88,27.94
2019,1,2,14,555.12,702.42,27.9
2019,1,2,15,395.95,488.65,27.91
2019,1,2,16,183.55,248.9,27.93
2019,1,2,17,31.17,42.55,27.87
2019,1,2,18,0.0,0.0,27.88
2019,1,2,19,0.0,0.0,27.94
2019,1,2,20,0.0,0.0,27.95
2019,1,2,21,0.0,0.0,27.97
2019,1,2,22,0.0,0.0,27.95
2019,1,2,23,0.0,0.0,27.89
2019,1,3,0,0.0,0.0,27.88
2019,1,3,1,0.0,0.0,27.95
2019,1,3,2,0.0,0.0,27.94
2019,1,3,3,0.0,0.0,27.9
2019,1,3,4,0.0,0.0,27.83
2019,1,3,5,3.25,9.2,27.84
2019,1,3,6,36.25,150.3,28.15
2019,1,3,7,79.1,380.55,28.24
2019,1,3,8,109.43,605.75,28.25
2019,1,3,9,302.75,792.62,28.31
2019,1,3,10,476.55,917.97,28.3
2019,1,3,11,527.53,971.17,28.17
2019,1,3,12,517.0,950.22,28.0
2019,1,3,13,479.58,857.08,27.81
2019,1,3,14,395.35,699.1,27.64
2019,1,3,15,272.98,490.5,27.49
2019,1,3,16,133.75,254.85,27.38
2019,1,3,17,20.92,45.58,27.22
2019,1,3,18,0.0,0.0,27.16
2019,1,3,19,0.0,0.0,27.21
2019,1,3,20,0.0,0.0,27.27
2019,1,3,21,0.0,0.0,27.29
2019,1,3,22,0.0,0.0,27.24
2019,1,3,23,0.0,0.0,27.07
2019,1,4,0,0.0,0.0,26.89
2019,1,4,1,0.0,0.0,26.75
2019,1,4,2,0.0,0.0,26.64
2019,1,4,3,0.0,0.0,26.59
2019,1,4,4,0.0,0.0,26.53
2019,1,4,5,4.0,9.65,26.5
2019,1,4,6,114.0,158.45,26.75
2019,1,4,7,266.48,395.5,26.9
2019,1,4,8,441.0,621.28,27.07
2019,1,4,9,654.2,805.58,27.18
2019,1,4,10,788.15,929.62,27.26
2019,1,4,11,767.92,966.75,27.45
2019,1,4,12,723.08,947.35,27.68
2019,1,4,13,623.65,855.4,27.85
2019,1,4,14,466.08,696.35,27.97
2019,1,4,15,289.1,487.05,27.95
2019,1,4,16,143.75,251.82,27.91
2019,1,4,17,30.08,45.45,27.77
2019,1,4,18,0.0,0.0,27.72
2019,1,4,19,0.0,0.0,27.78
2019,1,4,20,0.0,0.0,27.87
2019,1,4,21,0.0,0.0,27.91
2019,1,4,22,0.0,0.0,27.9
2019,1,4,23,0.0,0.0,27.83
2019,1,5,0,0.0,0.0,27.75
2019,1,5,1,0.0,0.0,27.66
2019,1,5,2,0.0,0.0,27.6
2019,1,5,3,0.0,0.0,27.56
2019,1,5,4,0.0,0.0,27.55
2019,1,5,5,7.82,9.3,27.61
2019,1,5,6,116.0,158.38,28.18
2019,1,5,7,311.85,395.1,28.54
2019,1,5,8,505.95,621.95,28.79
2019,1,5,9,652.95,806.67,28.99
2019,1,5,10,741.62,931.1,29.13
2019,1,5,11,737.72,940.25,29.24
2019,1,5,12,674.03,925.88,29.26
2019,1,5,13,600.17,831.95,29.22
2019,1,5,14,477.33,675.08,29.14
2019,1,5,15,325.12,467.27,29.03
2019,1,5,16,165.1,237.52,28.86
2019,1,5,17,33.08,42.5,28.48
2019,1,5,18,0.0,0.0,28.14
2019,1,5,19,0.0,0.0,28.04
2019,1,5,20,0.0,0.0,27.97
2019,1,5,21,0.0,0.0,27.88
2019,1,5,22,0.0,0.0,27.78
2019,1,5,23,0.0,0.0,27.65
2019,1,6,0,0.0,0.0,27.53
2019,1,6,1,0.0,0.0,27.43
2019,1,6,2,0.0,0.0,27.39
2019,1,6,3,0.0,0.0,27.34
2019,1,6,4,0.0,0.0,27.29
2019,1,6,5,7.53,8.45,27.29
2019,1,6,6,125.32,147.18,27.58
2019,1,6,7,331.05,378.17,27.93
2019,1,6,8,582.67,604.1,28.45
2019,1,6,9,774.88,790.42,29.01
2019,1,6,10,884.2,916.8,29.39
2019,1,6,11,959.95,979.08,29.62
2019,1,6,12,932.6,959.72,29.71
2019,1,6,13,817.28,866.0,29.66
2019,1,6,14,668.05,705.95,29.54
2019,1,6,15,472.42,495.25,29.33
2019,1,6,16,239.15,258.12,29.08
2019,1,6,17,43.45,48.0,28.69
2019,1,6,18,0.0,0.0,28.34
2019,1,6,19,0.0,0.0,28.2
2019,1,6,20,0.0,0.0,28.11
2019,1,6,21,0.0,0.0,28.06
2019,1,6,22,0.0,0.0,28.0
2019,1,6,23,0.0,0.0,27.93
2019,1,7,0,0.0,0.0,27.84
2019,1,7,1,0.0,0.0,27.76
2019,1,7,2,0.0,0.0,27.7
2019,1,7,3,0.0,0.0,27.68
2019,1,7,4,0.0,0.0,27.66
2019,1,7,5,7.85,8.2,27.68
2019,1,7,6,133.07,148.95,27.94
2019,1,7,7,343.7,383.1,28.34
2019,1,7,8,542.05,610.78,28.75
2019,1,7,9,733.35,796.85,29.12
2019,1,7,10,871.7,922.72,29.43
2019,1,7,11,911.25,944.7,29.67
2019,1,7,12,853.47,925.7,29.79
2019,1,7,13,720.22,832.53,29.78
2019,1,7,14,585.75,672.92,29.66
2019,1,7,15,395.9,463.92,29.47
2019,1,7,16,184.7,233.98,29.18
2019,1,7,17,34.9,42.4,28.71
2019,1,7,18,0.0,0.0,28.32
2019,1,7,19,0.0,0.0,28.17
2019,1,7,20,0.0,0.0,28.09
2019,1,7,21,0.0,0.0,28.02
2019,1,7,22,0.0,0.0,27.95
2019,1,7,23,0.0,0.0,27.84
2019,1,8,0,0.0,0.0,27.76
2019,1,8,1,0.0,0.0,27.73
2019,1,8,2,0.0,0.0,27.7
2019,1,8,3,0.0,0.0,27.67
2019,1,8,4,0.0,0.0,27.66
2019,1,8,5,6.5,7.53,27.68
2019,1,8,6,134.15,138.88,27.96
2019,1,8,7,351.88,368.98,28.2
2019,1,8,8,553.58,595.15,28.41
2019,1,8,9,720.05,782.72,28.59
2019,1,8,10,875.97,910.28,28.71
2019,1,8,11,905.03,957.95,28.79
2019,1,8,12,840.67,939.12,28.85
2019,1,8,13,749.78,846.1,28.83
2019,1,8,14,606.45,688.05,28.75
2019,1,8,15,392.75,479.55,28.62
2019,1,8,16,187.32,246.55,28.44
2019,1,8,17,32.05,45.92,28.17
2019,1,8,18,0.0,0.0,27.94
2019,1,8,19,0.0,0.0,27.86
2019,1,8,20,0.0,0.0,27.8
2019,1,8,21,0.0,0.0,27.75
2019,1,8,22,0.0,0.0,27.69
2019,1,8,23,0.0,0.0,27.59
2019,1,9,0,0.0,0.0,27.51
2019,1,9,1,0.0,0.0,27.42
2019,1,9,2,0.0,0.0,27.34
2019,1,9,3,0.0,0.0,27.24
2019,1,9,4,0.0,0.0,27.15
2019,1,9,5,4.3,7.28,27.1
2019,1,9,6,76.7,137.3,27.4
2019,1,9,7,229.8,366.17,27.73
2019,1,9,8,392.02,592.95,28.19
2019,1,9,9,500.12,778.97,28.62
2019,1,9,10,509.83,905.55,29.07
2019,1,9,11,708.1,940.03,29.37
2019,1,9,12,715.55,920.95,29.49
2019,1,9,13,710.4,827.78,29.42
2019,1,9,14,591.88,668.03,29.16
2019,1,9,15,413.75,459.05,28.8
2019,1,9,16,198.5,230.27,28.43
2019,1,9,17,37.4,42.53,28.07
2019,1,9,18,0.0,0.0,27.87
2019,1,9,19,0.0,0.0,27.8
2019,1,9,20,0.0,0.0,27.77
2019,1,9,21,0.0,0.0,27.73
2019,1,9,22,0.0,0.0,27.69
2019,1,9,23,0.0,0.0,27.64
2019,1,10,0,0.0,0.0,27.57
2019,1,10,1,0.0,0.0,27.49
2019,1,10,2,0.0,0.0,27.4
2019,1,10,3,0.0,0.0,27.38
2019,1,10,4,0.0,0.0,27.38
2019,1,10,5,5.55,6.57,27.41
2019,1,10,6,84.15,124.15,27.72
2019,1,10,7,221.8,343.3,27.9
2019,1,10,8,377.15,567.33,28.01
2019,1,10,9,563.33,754.67,28.1
2019,1,10,10,687.78,885.25,28.15
2019,1,10,11,849.2,940.12,28.19
2019,1,10,12,779.38,923.62,28.2
2019,1,10,13,704.83,833.0,28.23
2019,1,10,14,561.5,673.97,28.2
2019,1,10,15,372.2,465.17,28.14
2019,1,10,16,179.3,235.48,28.06
2019,1,10,17,34.45,44.22,27.9
