-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -7.806   Longitude 112.0169 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 262.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,23.55
2019,1,1,1,0.0,0.0,23.37
2019,1,1,2,0.0,0.0,23.25
2019,1,1,3,0.0,0.0,23.23
2019,1,1,4,0.0,0.0,23.28
2019,1,1,5,13.3,20.92,23.61
2019,1,1,6,115.53,196.12,24.93
2019,1,1,7,334.08,442.55,25.99
2019,1,1,8,522.35,665.67,27.25
2019,1,1,9,575.35,841.47,28.39
2019,1,1,10,675.53,957.5,29.17
2019,1,1,11,685.95,970.38,29.68
2019,1,1,12,580.35,939.83,29.84
2019,1,1,13,475.52,836.08,29.71
2019,1,1,14,380.17,666.28,29.34
2019,1,1,15,242.65,450.33,28.64
2019,1,1,16,106.5,215.88,27.61
2019,1,1,17,14.55,29.52,26.37
2019,1,1,18,0.0,0.0,25.54
2019,1,1,19,0.0,0.0,25.19
2019,1,1,20,0.0,0.0,24.95
2019,1,1,21,0.0,0.0,24.76
2019,1,1,22,0.0,0.0,24.49
2019,1,1,23,0.0,0.0,24.15
2019,1,2,0,0.0,0.0,23.8
2019,1,2,1,0.0,0.0,23.53
2019,1,2,2,0.0,0.0,23.3
2019,1,2,3,0.0,0.0,23.18
2019,1,2,4,0.0,0.0,23.15
2019,1,2,5,14.6,19.9,23.36
2019,1,2,6,119.38,196.45,24.45
2019,1,2,7,284.58,434.52,25.34
2019,1,2,8,463.6,658.0,26.36
2019,1,2,9,613.28,835.97,27.29
2019,1,2,10,712.33,951.17,27.91
2019,1,2,11,764.28,997.25,28.35
2019,1,2,12,687.88,963.95,28.58
2019,1,2,13,413.58,858.6,28.49
2019,1,2,14,235.48,690.2,27.97
2019,1,2,15,149.12,472.15,27.23
2019,1,2,16,97.32,230.4,26.43
2019,1,2,17,7.3,31.75,25.53
2019,1,2,18,0.0,0.0,24.94
2019,1,2,19,0.0,0.0,24.71
2019,1,2,20,0.0,0.0,24.56
2019,1,2,21,0.0,0.0,24.43
2019,1,2,22,0.0,0.0,24.31
2019,1,2,23,0.0,0.0,24.22
2019,1,3,0,0.0,0.0,24.1
2019,1,3,1,0.0,0.0,24.0
2019,1,3,2,0.0,0.0,23.96
2019,1,3,3,0.0,0.0,23.92
2019,1,3,4,0.0,0.0,23.89
2019,1,3,5,8.12,18.67,23.97
2019,1,3,6,69.72,188.62,24.72
2019,1,3,7,173.02,426.67,25.04
2019,1,3,8,309.9,649.72,25.25
2019,1,3,9,406.65,829.4,25.64
2019,1,3,10,430.75,945.5,26.09
2019,1,3,11,311.38,990.2,26.57
2019,1,3,12,365.65,959.67,27.03
2019,1,3,13,200.35,857.25,27.13
2019,1,3,14,131.75,688.9,26.9
2019,1,3,15,75.88,473.02,26.45
2019,1,3,16,49.2,234.18,25.82
2019,1,3,17,10.62,33.28,25.04
2019,1,3,18,0.0,0.0,24.66
2019,1,3,19,0.0,0.0,24.54
2019,1,3,20,0.0,0.0,24.41
2019,1,3,21,0.0,0.0,24.18
2019,1,3,22,0.0,0.0,23.91
2019,1,3,23,0.0,0.0,23.63
2019,1,4,0,0.0,0.0,23.37
2019,1,4,1,0.0,0.0,23.2
2019,1,4,2,0.0,0.0,23.1
2019,1,4,3,0.0,0.0,23.0
2019,1,4,4,0.0,0.0,22.9
2019,1,4,5,14.62,20.15,23.09
2019,1,4,6,109.82,205.73,24.62
2019,1,4,7,223.65,446.85,25.77
2019,1,4,8,366.95,669.03,26.91
2019,1,4,9,506.4,843.78,27.88
2019,1,4,10,663.85,957.38,28.55
2019,1,4,11,798.58,1000.55,28.99
2019,1,4,12,724.9,967.42,29.2
2019,1,4,13,623.58,861.75,29.1
2019,1,4,14,463.23,691.03,28.57
2019,1,4,15,298.42,471.75,27.88
2019,1,4,16,141.5,231.95,27.09
2019,1,4,17,22.98,33.5,26.03
2019,1,4,18,0.0,0.0,25.29
2019,1,4,19,0.0,0.0,24.92
2019,1,4,20,0.0,0.0,24.59
2019,1,4,21,0.0,0.0,24.3
2019,1,4,22,0.0,0.0,24.05
2019,1,4,23,0.0,0.0,23.84
2019,1,5,0,0.0,0.0,23.65
2019,1,5,1,0.0,0.0,23.48
2019,1,5,2,0.0,0.0,23.35
2019,1,5,3,0.0,0.0,23.26
2019,1,5,4,0.0,0.0,23.24
2019,1,5,5,16.98,19.35,23.51
2019,1,5,6,137.18,200.65,24.94
2019,1,5,7,314.67,442.67,26.12
2019,1,5,8,520.75,666.28,27.36
2019,1,5,9,744.83,844.55,28.33
2019,1,5,10,822.53,961.08,29.04
2019,1,5,11,796.55,983.42,29.53
2019,1,5,12,754.2,954.47,29.76
2019,1,5,13,625.42,852.3,29.68
2019,1,5,14,539.95,686.85,29.55
2019,1,5,15,385.95,472.52,29.03
2019,1,5,16,180.77,234.52,28.21
2019,1,5,17,27.45,34.42,27.06
2019,1,5,18,0.0,0.0,26.02
2019,1,5,19,0.0,0.0,25.63
2019,1,5,20,0.0,0.0,25.43
2019,1,5,21,0.0,0.0,25.25
2019,1,5,22,0.0,0.0,25.0
2019,1,5,23,0.0,0.0,24.72
2019,1,6,0,0.0,0.0,24.6
2019,1,6,1,0.0,0.0,24.56
2019,1,6,2,0.0,0.0,24.47
2019,1,6,3,0.0,0.0,24.34
2019,1,6,4,0.0,0.0,24.22
2019,1,6,5,16.02,18.35,24.23
2019,1,6,6,172.57,196.3,25.51
2019,1,6,7,396.02,436.23,26.95
2019,1,6,8,624.25,659.53,28.22
2019,1,6,9,770.75,837.92,29.38
2019,1,6,10,874.65,954.7,30.24
2019,1,6,11,875.17,988.3,30.84
2019,1,6,12,803.55,958.05,31.18
2019,1,6,13,646.33,855.83,31.09
2019,1,6,14,415.38,687.4,30.76
2019,1,6,15,264.0,470.88,30.07
2019,1,6,16,118.75,232.55,29.19
2019,1,6,17,19.3,34.2,27.85
2019,1,6,18,0.0,0.0,26.87
2019,1,6,19,0.0,0.0,26.39
