-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -8.0093   Longitude 112.6287 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 467.71 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,22.41
2019,1,1,1,0.0,0.0,22.16
2019,1,1,2,0.0,0.0,21.92
2019,1,1,3,0.0,0.0,21.75
2019,1,1,4,0.0,0.0,21.67
2019,1,1,5,17.73,22.2,22.05
2019,1,1,6,157.02,198.57,23.41
2019,1,1,7,361.73,447.58,24.53
2019,1,1,8,497.38,671.47,25.61
2019,1,1,9,758.7,848.22,26.44
2019,1,1,10,948.05,956.2,27.07
2019,1,1,11,746.22,982.38,27.62
2019,1,1,12,729.12,950.58,27.8
2019,1,1,13,582.5,844.8,27.77
2019,1,1,14,416.8,674.8,27.72
2019,1,1,15,238.95,456.25,27.15
2019,1,1,16,111.97,218.45,26.13
2019,1,1,17,13.7,31.3,24.9
2019,1,1,18,0.0,0.0,24.19
2019,1,1,19,0.0,0.0,23.88
2019,1,1,20,0.0,0.0,23.66
2019,1,1,21,0.0,0.0,23.53
2019,1,1,22,0.0,0.0,23.38
2019,1,1,23,0.0,0.0,23.21
2019,1,2,0,0.0,0.0,23.03
2019,1,2,1,0.0,0.0,22.7
2019,1,2,2,0.0,0.0,22.46
2019,1,2,3,0.0,0.0,22.21
2019,1,2,4,0.0,0.0,22.02
2019,1,2,5,13.55,22.08,22.11
2019,1,2,6,108.78,202.23,22.91
2019,1,2,7,269.8,442.88,23.54
2019,1,2,8,445.7,666.15,24.3
2019,1,2,9,625.03,843.7,25.24
2019,1,2,10,630.47,958.15,26.05
2019,1,2,11,679.12,1003.62,26.67
2019,1,2,12,609.9,971.3,27.03
2019,1,2,13,418.33,866.83,26.91
2019,1,2,14,252.6,699.22,26.39
2019,1,2,15,188.12,481.15,25.63
2019,1,2,16,72.35,239.4,24.88
2019,1,2,17,10.55,35.38,24.07
2019,1,2,18,0.0,0.0,23.51
2019,1,2,19,0.0,0.0,23.26
2019,1,2,20,0.0,0.0,23.12
2019,1,2,21,0.0,0.0,23.01
2019,1,2,22,0.0,0.0,22.91
2019,1,2,23,0.0,0.0,22.78
2019,1,3,0,0.0,0.0,22.64
2019,1,3,1,0.0,0.0,22.48
2019,1,3,2,0.0,0.0,22.33
2019,1,3,3,0.0,0.0,22.18
2019,1,3,4,0.0,0.0,22.09
2019,1,3,5,10.85,21.25,22.38
2019,1,3,6,91.5,198.6,23.09
2019,1,3,7,206.9,436.33,23.48
2019,1,3,8,298.88,660.1,23.72
2019,1,3,9,451.25,838.47,23.85
2019,1,3,10,505.88,954.1,24.06
2019,1,3,11,585.95,997.5,24.35
2019,1,3,12,591.47,965.67,24.62
2019,1,3,13,484.23,860.72,24.8
2019,1,3,14,381.92,691.67,24.8
2019,1,3,15,257.15,474.5,24.55
2019,1,3,16,116.65,235.52,24.07
2019,1,3,17,19.17,35.6,23.29
2019,1,3,18,0.0,0.0,22.85
2019,1,3,19,0.0,0.0,22.7
2019,1,3,20,0.0,0.0,22.57
2019,1,3,21,0.0,0.0,22.43
2019,1,3,22,0.0,0.0,22.25
2019,1,3,23,0.0,0.0,22.05
2019,1,4,0,0.0,0.0,21.85
2019,1,4,1,0.0,0.0,21.7
2019,1,4,2,0.0,0.0,21.57
2019,1,4,3,0.0,0.0,21.38
2019,1,4,4,0.0,0.0,21.17
2019,1,4,5,17.17,22.7,21.32
2019,1,4,6,150.93,213.98,22.66
2019,1,4,7,344.17,455.25,24.03
2019,1,4,8,541.45,677.5,25.27
2019,1,4,9,657.8,853.22,26.32
2019,1,4,10,794.5,966.65,27.0
2019,1,4,11,863.72,1006.05,27.46
2019,1,4,12,832.92,973.45,27.71
2019,1,4,13,696.22,867.45,27.76
2019,1,4,14,519.88,696.45,27.29
2019,1,4,15,314.05,476.6,26.45
2019,1,4,16,137.7,235.48,25.55
2019,1,4,17,22.7,36.12,24.56
2019,1,4,18,0.0,0.0,23.93
2019,1,4,19,0.0,0.0,23.66
2019,1,4,20,0.0,0.0,23.42
2019,1,4,21,0.0,0.0,23.17
2019,1,4,22,0.0,0.0,22.92
2019,1,4,23,0.0,0.0,22.69
2019,1,5,0,0.0,0.0,22.43
2019,1,5,1,0.0,0.0,22.13
2019,1,5,2,0.0,0.0,21.94
2019,1,5,3,0.0,0.0,21.79
2019,1,5,4,0.0,0.0,21.65
2019,1,5,5,16.77,20.52,21.93
2019,1,5,6,158.65,199.5,23.47
2019,1,5,7,375.0,438.92,24.8
2019,1,5,8,619.35,665.12,26.14
2019,1,5,9,770.8,845.03,27.23
2019,1,5,10,910.33,962.92,27.89
2019,1,5,11,910.45,991.6,28.26
2019,1,5,12,748.62,962.12,28.35
2019,1,5,13,664.75,858.62,28.28
2019,1,5,14,490.9,687.62,28.1
2019,1,5,15,280.02,469.52,27.67
2019,1,5,16,122.2,230.77,26.83
2019,1,5,17,17.15,35.42,25.84
2019,1,5,18,0.0,0.0,25.01
2019,1,5,19,0.0,0.0,24.65
2019,1,5,20,0.0,0.0,24.44
2019,1,5,21,0.0,0.0,24.21
2019,1,5,22,0.0,0.0,23.88
2019,1,5,23,0.0,0.0,23.71
2019,1,6,0,0.0,0.0,23.6
2019,1,6,1,0.0,0.0,23.47
2019,1,6,2,0.0,0.0,23.22
2019,1,6,3,0.0,0.0,23.04
2019,1,6,4,0.0,0.0,22.92
2019,1,6,5,15.18,18.75,22.96
2019,1,6,6,163.62,184.57,24.24
2019,1,6,7,403.83,420.88,25.64
2019,1,6,8,624.28,648.4,27.02
2019,1,6,9,786.03,829.85,28.23
2019,1,6,10,810.2,948.12,29.12
2019,1,6,11,873.45,972.12,29.66
2019,1,6,12,799.12,942.53,29.87
2019,1,6,13,684.38,839.38,29.68
2019,1,6,14,464.73,671.2,29.23
2019,1,6,15,241.98,455.38,28.55
2019,1,6,16,112.97,224.23,27.49
2019,1,6,17,17.02,34.78,26.17
2019,1,6,18,0.0,0.0,25.23
2019,1,6,19,0.0,0.0,24.79
2019,1,6,20,0.0,0.0,24.53
2019,1,6,21,0.0,0.0,24.33
2019,1,6,22,0.0,0.0,24.16
