-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -6.8955   Longitude 109.6691 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 236.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,23.41
2019,1,1,1,0.0,0.0,23.02
2019,1,1,2,0.0,0.0,22.74
2019,1,1,3,0.0,0.0,22.51
2019,1,1,4,0.0,0.0,22.39
2019,1,1,5,4.4,7.65,22.51
2019,1,1,6,94.78,142.4,23.82
2019,1,1,7,238.75,385.92,25.22
2019,1,1,8,402.0,612.88,26.83
2019,1,1,9,564.58,798.62,27.74
2019,1,1,10,683.53,924.47,28.05
2019,1,1,11,571.0,946.5,28.2
2019,1,1,12,578.55,934.05,28.28
2019,1,1,13,488.62,848.8,27.96
2019,1,1,14,424.02,690.38,27.43
2019,1,1,15,282.55,480.23,26.82
2019,1,1,16,150.4,248.93,26.11
2019,1,1,17,33.58,48.5,25.36
2019,1,1,18,0.0,0.0,24.93
2019,1,1,19,0.0,0.0,24.76
2019,1,1,20,0.0,0.0,24.64
2019,1,1,21,0.0,0.0,24.53
2019,1,1,22,0.0,0.0,24.39
2019,1,1,23,0.0,0.0,24.19
2019,1,2,0,0.0,0.0,23.75
2019,1,2,1,0.0,0.0,23.31
2019,1,2,2,0.0,0.0,23.14
2019,1,2,3,0.0,0.0,22.95
2019,1,2,4,0.0,0.0,22.74
2019,1,2,5,5.3,7.32,22.71
2019,1,2,6,100.88,145.88,23.89
2019,1,2,7,272.52,378.08,25.12
2019,1,2,8,451.27,606.7,26.77
2019,1,2,9,652.67,795.2,28.19
2019,1,2,10,795.2,925.33,28.88
2019,1,2,11,883.7,978.33,29.23
2019,1,2,12,888.33,961.17,29.34
2019,1,2,13,792.62,869.25,29.38
2019,1,2,14,615.33,708.35,28.79
2019,1,2,15,402.62,495.17,27.98
2019,1,2,16,193.07,256.2,27.19
2019,1,2,17,37.42,49.72,26.27
2019,1,2,18,0.0,0.0,25.57
2019,1,2,19,0.0,0.0,25.23
2019,1,2,20,0.0,0.0,24.97
2019,1,2,21,0.0,0.0,24.76
2019,1,2,22,0.0,0.0,24.58
2019,1,2,23,0.0,0.0,24.35
2019,1,3,0,0.0,0.0,23.99
2019,1,3,1,0.0,0.0,23.73
2019,1,3,2,0.0,0.0,23.53
2019,1,3,3,0.0,0.0,23.31
2019,1,3,4,0.0,0.0,23.15
2019,1,3,5,4.65,6.82,23.15
2019,1,3,6,82.4,142.18,24.15
2019,1,3,7,204.48,373.7,25.12
2019,1,3,8,301.73,600.85,26.16
2019,1,3,9,480.4,786.72,27.13
2019,1,3,10,705.55,916.17,28.09
2019,1,3,11,773.65,974.72,28.81
2019,1,3,12,743.83,958.25,29.32
2019,1,3,13,634.9,867.3,29.23
2019,1,3,14,509.92,712.03,28.68
2019,1,3,15,327.88,505.55,27.82
2019,1,3,16,150.4,271.33,27.04
2019,1,3,17,27.38,56.05,26.26
2019,1,3,18,0.0,0.0,25.51
2019,1,3,19,0.0,0.0,25.14
2019,1,3,20,0.0,0.0,24.85
2019,1,3,21,0.0,0.0,24.68
2019,1,3,22,0.0,0.0,24.55
2019,1,3,23,0.0,0.0,24.36
2019,1,4,0,0.0,0.0,24.15
2019,1,4,1,0.0,0.0,23.99
2019,1,4,2,0.0,0.0,23.89
2019,1,4,3,0.0,0.0,23.82
2019,1,4,4,0.0,0.0,23.71
2019,1,4,5,5.03,6.6,23.6
2019,1,4,6,122.75,136.12,24.01
2019,1,4,7,325.5,366.02,24.68
2019,1,4,8,553.12,597.95,25.65
2019,1,4,9,743.33,791.55,26.75
2019,1,4,10,868.6,924.3,27.8
2019,1,4,11,853.03,980.25,28.8
2019,1,4,12,793.72,967.22,29.68
2019,1,4,13,709.55,878.45,30.01
2019,1,4,14,534.0,722.83,29.89
2019,1,4,15,390.12,514.65,29.49
2019,1,4,16,186.32,277.33,28.71
2019,1,4,17,43.53,58.45,27.37
2019,1,4,18,0.0,0.0,26.12
2019,1,4,19,0.0,0.0,25.95
2019,1,4,20,0.0,0.0,25.93
2019,1,4,21,0.0,0.0,25.95
2019,1,4,22,0.0,0.0,25.94
2019,1,4,23,0.0,0.0,25.71
2019,1,5,0,0.0,0.0,25.33
2019,1,5,1,0.0,0.0,25.22
2019,1,5,2,0.0,0.0,25.07
2019,1,5,3,0.0,0.0,24.93
2019,1,5,4,0.0,0.0,24.97
2019,1,5,5,4.9,6.47,25.13
2019,1,5,6,83.15,140.57,26.24
2019,1,5,7,262.33,373.73,27.16
2019,1,5,8,458.92,601.78,28.25
2019,1,5,9,589.85,790.38,29.16
2019,1,5,10,729.05,919.72,29.78
2019,1,5,11,756.05,932.35,30.1
2019,1,5,12,730.12,914.78,30.07
2019,1,5,13,658.83,827.62,29.79
2019,1,5,14,558.08,670.78,29.39
2019,1,5,15,367.9,462.38,28.93
2019,1,5,16,182.62,233.1,28.27
2019,1,5,17,39.95,47.33,27.18
2019,1,5,18,0.0,0.0,26.09
