-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -7.7633   Longitude 113.2361 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 376.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,24.18
2019,1,1,1,0.0,0.0,23.89
2019,1,1,2,0.0,0.0,23.66
2019,1,1,3,0.0,0.0,23.41
2019,1,1,4,0.0,0.0,23.23
2019,1,1,5,0.0,0.0,23.08
2019,1,1,6,14.95,27.23,23.36
2019,1,1,7,119.38,218.7,24.74
2019,1,1,8,340.25,468.17,25.98
2019,1,1,9,540.3,686.53,27.25
2019,1,1,10,552.22,856.92,28.21
2019,1,1,11,622.4,965.12,28.78
2019,1,1,12,626.25,1001.1,28.45
2019,1,1,13,586.7,962.42,28.03
2019,1,1,14,491.02,851.65,27.81
2019,1,1,15,381.33,677.33,27.75
2019,1,1,16,226.02,455.88,27.55
2019,1,1,17,91.78,214.45,26.97
2019,1,1,18,11.2,24.9,26.02
2019,1,1,19,0.0,0.0,25.38
2019,1,1,20,0.0,0.0,25.05
2019,1,1,21,0.0,0.0,24.77
2019,1,1,22,0.0,0.0,24.57
2019,1,1,23,0.0,0.0,24.38
2019,1,2,0,0.0,0.0,24.21
2019,1,2,1,0.0,0.0,24.05
2019,1,2,2,0.0,0.0,23.87
2019,1,2,3,0.0,0.0,23.67
2019,1,2,4,0.0,0.0,23.42
2019,1,2,5,0.0,0.0,23.21
2019,1,2,6,16.67,25.8,23.26
2019,1,2,7,126.88,212.68,24.03
2019,1,2,8,303.62,453.08,24.67
