-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -7.4194   Longitude 109.2264 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 220.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,23.14
2019,1,1,1,0.0,0.0,22.92
2019,1,1,2,0.0,0.0,22.68
2019,1,1,3,0.0,0.0,22.47
2019,1,1,4,0.0,0.0,22.49
2019,1,1,5,6.85,9.0,22.62
2019,1,1,6,100.3,151.6,23.98
2019,1,1,7,273.33,400.5,25.38
2019,1,1,8,457.1,631.35,26.9
2019,1,1,9,659.42,819.1,27.99
2019,1,1,10,760.62,945.83,28.47
2019,1,1,11,744.58,971.0,28.8
2019,1,1,12,622.12,956.97,28.85
2019,1,1,13,472.55,870.2,28.39
2019,1,1,14,309.58,709.97,27.28
2019,1,1,15,205.65,497.1,26.45
2019,1,1,16,121.35,261.5,25.76
2019,1,1,17,25.85,54.12,24.99
2019,1,1,18,0.0,0.0,24.52
2019,1,1,19,0.0,0.0,24.33
2019,1,1,20,0.0,0.0,24.15
2019,1,1,21,0.0,0.0,23.95
2019,1,1,22,0.0,0.0,23.74
2019,1,1,23,0.0,0.0,23.55
2019,1,2,0,0.0,0.0,23.34
2019,1,2,1,0.0,0.0,23.05
2019,1,2,2,0.0,0.0,22.83
2019,1,2,3,0.0,0.0,22.64
2019,1,2,4,0.0,0.0,22.5
2019,1,2,5,7.15,8.73,22.62
2019,1,2,6,97.07,155.88,24.27
2019,1,2,7,252.9,391.45,25.83
2019,1,2,8,427.52,623.45,27.09
2019,1,2,9,596.92,813.0,28.02
2019,1,2,10,759.47,943.2,28.57
2019,1,2,11,704.35,997.55,28.94
2019,1,2,12,673.35,980.97,29.23
2019,1,2,13,559.75,887.95,29.19
2019,1,2,14,455.95,726.7,28.65
2019,1,2,15,203.55,511.15,27.54
2019,1,2,16,125.47,268.4,26.56
2019,1,2,17,18.65,55.33,25.62
2019,1,2,18,0.0,0.0,24.97
2019,1,2,19,0.0,0.0,24.76
2019,1,2,20,0.0,0.0,24.59
2019,1,2,21,0.0,0.0,24.41
2019,1,2,22,0.0,0.0,24.16
2019,1,2,23,0.0,0.0,23.91
2019,1,3,0,0.0,0.0,23.74
2019,1,3,1,0.0,0.0,23.71
2019,1,3,2,0.0,0.0,23.62
2019,1,3,3,0.0,0.0,23.5
2019,1,3,4,0.0,0.0,23.48
2019,1,3,5,5.2,8.18,23.56
2019,1,3,6,83.8,152.52,24.23
2019,1,3,7,208.18,388.6,25.25
2019,1,3,8,352.83,620.9,26.02
2019,1,3,9,449.75,809.22,26.67
2019,1,3,10,540.38,939.72,27.3
2019,1,3,11,552.03,998.42,27.7
2019,1,3,12,588.58,981.7,27.89
2019,1,3,13,504.75,889.9,27.76
2019,1,3,14,443.35,733.0,27.25
2019,1,3,15,276.8,523.72,26.36
2019,1,3,16,154.7,285.42,25.63
2019,1,3,17,39.17,62.88,24.95
2019,1,3,18,0.0,0.0,24.35
2019,1,3,19,0.0,0.0,24.18
2019,1,3,20,0.0,0.0,23.98
2019,1,3,21,0.0,0.0,23.71
2019,1,3,22,0.0,0.0,23.53
2019,1,3,23,0.0,0.0,23.43
2019,1,4,0,0.0,0.0,23.35
2019,1,4,1,0.0,0.0,23.25
2019,1,4,2,0.0,0.0,23.14
2019,1,4,3,0.0,0.0,23.04
2019,1,4,4,0.0,0.0,22.91
2019,1,4,5,6.65,7.93,22.85
2019,1,4,6,129.55,147.0,24.05
2019,1,4,7,340.55,382.25,25.21
2019,1,4,8,572.45,618.72,26.57
2019,1,4,9,774.88,814.2,27.61
2019,1,4,10,910.62,947.35,28.27
2019,1,4,11,947.85,1004.03,28.86
2019,1,4,12,866.72,989.38,29.31
2019,1,4,13,717.95,898.9,29.63
2019,1,4,14,557.5,740.47,29.66
2019,1,4,15,376.88,529.42,29.24
2019,1,4,16,194.68,288.8,28.29
2019,1,4,17,45.72,64.45,26.93
2019,1,4,18,0.0,0.0,25.61
2019,1,4,19,0.0,0.0,25.15
2019,1,4,20,0.0,0.0,24.79
2019,1,4,21,0.0,0.0,24.5
2019,1,4,22,0.0,0.0,24.3
2019,1,4,23,0.0,0.0,24.3
2019,1,5,0,0.0,0.0,24.32
2019,1,5,1,0.0,0.0,24.35
2019,1,5,2,0.0,0.0,24.24
2019,1,5,3,0.0,0.0,23.96
2019,1,5,4,0.0,0.0,23.85
2019,1,5,5,6.4,7.7,23.83
2019,1,5,6,98.03,150.0,25.0
2019,1,5,7,257.38,387.12,26.26
2019,1,5,8,460.2,617.65,27.67
2019,1,5,9,613.42,807.6,28.8
2019,1,5,10,727.62,936.92,29.7
2019,1,5,11,739.03,953.38,30.45
2019,1,5,12,696.85,934.92,30.66
2019,1,5,13,645.5,845.4,30.5
2019,1,5,14,555.15,686.2,29.99
2019,1,5,15,348.65,476.33,29.31
2019,1,5,16,176.48,244.15,28.45
2019,1,5,17,43.12,52.33,27.44
2019,1,5,18,0.0,0.0,26.4
2019,1,5,19,0.0,0.0,25.61
2019,1,5,20,0.0,0.0,25.21
2019,1,5,21,0.0,0.0,24.94
2019,1,5,22,0.0,0.0,24.55
2019,1,5,23,0.0,0.0,24.16
2019,1,6,0,0.0,0.0,23.8
2019,1,6,1,0.0,0.0,23.57
2019,1,6,2,0.0,0.0,23.3
2019,1,6,3,0.0,0.0,23.05
2019,1,6,4,0.0,0.0,22.77
2019,1,6,5,6.03,6.93,22.64
2019,1,6,6,127.97,134.95,24.42
2019,1,6,7,360.1,364.38,26.25
2019,1,6,8,589.1,598.97,28.15
2019,1,6,9,774.22,793.78,29.73
2019,1,6,10,872.42,928.05,30.89
2019,1,6,11,865.08,991.9,31.62
2019,1,6,12,855.75,976.65,31.96
2019,1,6,13,722.97,888.05,31.73
2019,1,6,14,618.85,731.92,31.31
2019,1,6,15,374.0,522.9,30.55
2019,1,6,16,189.2,286.35,29.75
2019,1,6,17,41.3,65.05,28.66
2019,1,6,18,0.0,0.0,27.57
2019,1,6,19,0.0,0.0,27.24
2019,1,6,20,0.0,0.0,26.42
2019,1,6,21,0.0,0.0,25.75
2019,1,6,22,0.0,0.0,25.08
2019,1,6,23,0.0,0.0,24.64
2019,1,7,0,0.0,0.0,24.36
2019,1,7,1,0.0,0.0,24.16
2019,1,7,2,0.0,0.0,23.98
2019,1,7,3,0.0,0.0,23.83
2019,1,7,4,0.0,0.0,23.75
2019,1,7,5,5.95,6.9,23.73
2019,1,7,6,131.57,142.75,25.35
2019,1,7,7,365.4,377.77,26.87
2019,1,7,8,605.08,608.7,28.42
2019,1,7,9,779.67,799.78,29.87
2019,1,7,10,816.4,931.15,30.94
2019,1,7,11,813.83,980.47,31.64
2019,1,7,12,790.45,964.65,32.04
2019,1,7,13,662.22,874.17,32.09
2019,1,7,14,466.25,716.8,31.59
2019,1,7,15,308.35,506.92,31.05
2019,1,7,16,155.77,270.83,30.22
2019,1,7,17,30.58,60.0,29.12
2019,1,7,18,0.0,0.0,28.07
2019,1,7,19,0.0,0.0,27.22
2019,1,7,20,0.0,0.0,26.77
2019,1,7,21,0.0,0.0,26.33
