-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -7.2498   Longitude 112.7084 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 18.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,26.58
2019,1,1,1,0.0,0.0,26.44
2019,1,1,2,0.0,0.0,26.25
2019,1,1,3,0.0,0.0,26.1
2019,1,1,4,0.0,0.0,26.03
2019,1,1,5,13.3,20.92,26.15
2019,1,1,6,115.53,196.12,26.71
2019,1,1,7,334.08,442.55,27.25
2019,1,1,8,522.35,665.67,27.58
2019,1,1,9,575.35,841.47,27.97
2019,1,1,10,675.53,957.5,28.44
2019,1,1,11,685.95,970.38,28.84
2019,1,1,12,580.35,939.83,28.96
2019,1,1,13,475.52,836.08,28.94
2019,1,1,14,380.17,666.28,28.72
2019,1,1,15,242.65,450.33,28.36
2019,1,1,16,106.5,215.88,27.87
2019,1,1,17,14.55,29.52,27.33
2019,1,1,18,0.0,0.0,27.06
2019,1,1,19,0.0,0.0,26.94
2019,1,1,20,0.0,0.0,26.8
2019,1,1,21,0.0,0.0,26.71
2019,1,1,22,0.0,0.0,26.59
2019,1,1,23,0.0,0.0,26.46
2019,1,2,0,0.0,0.0,26.34
2019,1,2,1,0.0,0.0,26.22
2019,1,2,2,0.0,0.0,26.07
2019,1,2,3,0.0,0.0,25.86
2019,1,2,4,0.0,0.0,25.63
2019,1,2,5,14.6,19.9,25.4
2019,1,2,6,119.38,196.45,25.54
2019,1,2,7,284.58,434.52,25.81
2019,1,2,8,463.6,658.0,26.18
2019,1,2,9,613.28,835.97,26.6
2019,1,2,10,712.33,951.17,27.09
2019,1,2,11,764.28,997.25,27.52
2019,1,2,12,687.88,963.95,27.91
2019,1,2,13,413.58,858.6,28.06
2019,1,2,14,235.48,690.2,27.95
2019,1,2,15,149.12,472.15,27.59
2019,1,2,16,97.32,230.4,27.11
2019,1,2,17,7.3,31.75,26.63
2019,1,2,18,0.0,0.0,26.44
2019,1,2,19,0.0,0.0,26.43
2019,1,2,20,0.0,0.0,26.44
2019,1,2,21,0.0,0.0,26.44
2019,1,2,22,0.0,0.0,26.41
2019,1,2,23,0.0,0.0,26.34
2019,1,3,0,0.0,0.0,26.28
2019,1,3,1,0.0,0.0,26.27
2019,1,3,2,0.0,0.0,26.24
2019,1,3,3,0.0,0.0,26.09
2019,1,3,4,0.0,0.0,26.03
2019,1,3,5,8.12,18.67,26.06
2019,1,3,6,69.72,188.62,26.33
2019,1,3,7,173.02,426.67,26.44
2019,1,3,8,309.9,649.72,26.48
2019,1,3,9,406.65,829.4,26.53
2019,1,3,10,430.75,945.5,26.69
2019,1,3,11,311.38,990.2,27.06
2019,1,3,12,365.65,959.67,27.48
2019,1,3,13,200.35,857.25,27.65
2019,1,3,14,131.75,688.9,27.55
2019,1,3,15,75.88,473.02,27.29
2019,1,3,16,49.2,234.18,26.93
2019,1,3,17,10.62,33.28,26.42
2019,1,3,18,0.0,0.0,26.12
2019,1,3,19,0.0,0.0,26.01
2019,1,3,20,0.0,0.0,25.95
2019,1,3,21,0.0,0.0,25.91
2019,1,3,22,0.0,0.0,25.88
2019,1,3,23,0.0,0.0,25.84
2019,1,4,0,0.0,0.0,25.79
2019,1,4,1,0.0,0.0,25.76
2019,1,4,2,0.0,0.0,25.76
2019,1,4,3,0.0,0.0,25.76
2019,1,4,4,0.0,0.0,25.73
2019,1,4,5,14.62,20.15,25.88
2019,1,4,6,109.82,205.73,26.71
2019,1,4,7,223.65,446.85,27.28
2019,1,4,8,366.95,669.03,27.72
2019,1,4,9,506.4,843.78,28.1
2019,1,4,10,663.85,957.38,28.41
2019,1,4,11,798.58,1000.55,28.52
2019,1,4,12,724.9,967.42,28.47
2019,1,4,13,623.58,861.75,28.25
2019,1,4,14,463.23,691.03,27.94
2019,1,4,15,298.42,471.75,27.67
2019,1,4,16,141.5,231.95,27.43
2019,1,4,17,22.98,33.5,26.98
2019,1,4,18,0.0,0.0,26.67
2019,1,4,19,0.0,0.0,26.59
2019,1,4,20,0.0,0.0,26.53
2019,1,4,21,0.0,0.0,26.44
2019,1,4,22,0.0,0.0,26.35
2019,1,4,23,0.0,0.0,26.23
2019,1,5,0,0.0,0.0,26.13
2019,1,5,1,0.0,0.0,26.05
2019,1,5,2,0.0,0.0,26.02
2019,1,5,3,0.0,0.0,26.05
2019,1,5,4,0.0,0.0,26.14
2019,1,5,5,16.98,19.35,26.4
2019,1,5,6,137.18,200.65,27.45
2019,1,5,7,314.67,442.67,28.2
2019,1,5,8,520.75,666.28,28.79
2019,1,5,9,744.83,844.55,29.28
2019,1,5,10,822.53,961.08,29.57
