-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -7.3206   Longitude 108.2161 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 405.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,22.3
2019,1,1,1,0.0,0.0,22.27
2019,1,1,2,0.0,0.0,22.22
2019,1,1,3,0.0,0.0,22.17
2019,1,1,4,0.0,0.0,22.16
2019,1,1,5,3.83,6.38,22.21
2019,1,1,6,71.32,137.38,23.14
2019,1,1,7,237.18,384.42,24.16
2019,1,1,8,417.38,617.78,25.31
2019,1,1,9,613.5,802.17,26.18
2019,1,1,10,746.6,940.92,26.58
2019,1,1,11,644.4,973.03,26.84
2019,1,1,12,570.22,965.22,26.82
2019,1,1,13,441.35,881.8,26.13
2019,1,1,14,288.38,725.85,25.4
2019,1,1,15,185.95,515.03,24.8
2019,1,1,16,138.85,278.8,24.28
2019,1,1,17,31.3,65.35,23.67
2019,1,1,18,0.0,0.0,23.06
2019,1,1,19,0.0,0.0,22.89
2019,1,1,20,0.0,0.0,22.77
2019,1,1,21,0.0,0.0,22.69
2019,1,1,22,0.0,0.0,22.63
2019,1,1,23,0.0,0.0,22.53
2019,1,2,0,0.0,0.0,22.41
2019,1,2,1,0.0,0.0,22.3
2019,1,2,2,0.0,0.0,22.23
2019,1,2,3,0.0,0.0,22.2
2019,1,2,4,0.0,0.0,22.16
2019,1,2,5,5.12,6.1,22.21
2019,1,2,6,122.18,141.4,23.32
2019,1,2,7,319.4,374.6,24.33
2019,1,2,8,533.55,608.92,25.45
2019,1,2,9,734.88,804.28,26.44
2019,1,2,10,827.2,939.88,27.16
2019,1,2,11,699.25,991.85,27.52
2019,1,2,12,730.12,987.88,27.51
2019,1,2,13,588.72,891.35,27.34
2019,1,2,14,448.55,742.42,26.99
2019,1,2,15,287.05,529.6,26.55
2019,1,2,16,162.93,286.42,25.84
2019,1,2,17,39.08,66.95,24.75
2019,1,2,18,0.0,0.0,23.81
2019,1,2,19,0.0,0.0,23.55
2019,1,2,20,0.0,0.0,23.37
2019,1,2,21,0.0,0.0,23.22
2019,1,2,22,0.0,0.0,23.05
2019,1,2,23,0.0,0.0,22.87
