-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2024 in LST
Location: Latitude  -7.8168   Longitude 110.4033 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 159.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M
2019,1,1,0,0.0,0.0,24.8
2019,1,1,1,0.0,0.0,24.75
2019,1,1,2,0.0,0.0,24.66
2019,1,1,3,0.0,0.0,24.65
2019,1,1,4,0.0,0.0,24.64
2019,1,1,5,8.98,12.38,24.73
2019,1,1,6,103.15,169.15,25.64
2019,1,1,7,317.3,415.55,26.59
2019,1,1,8,516.4,644.53,27.58
2019,1,1,9,603.03,822.4,28.27
2019,1,1,10,665.58,944.85,28.75
2019,1,1,11,700.88,981.15,29.02
2019,1,1,12,591.3,956.5,29.06
2019,1,1,13,454.35,860.9,28.91
2019,1,1,14,263.1,702.72,28.53
2019,1,1,15,184.52,492.48,27.82
2019,1,1,16,98.12,256.02,27.03
2019,1,1,17,22.17,46.45,26.25
2019,1,1,18,0.0,0.0,25.65
2019,1,1,19,0.0,0.0,25.48
2019,1,1,20,0.0,0.0,25.36
2019,1,1,21,0.0,0.0,25.25
2019,1,1,22,0.0,0.0,25.03
2019,1,1,23,0.0,0.0,24.74
2019,1,2,0,0.0,0.0,24.55
2019,1,2,1,0.0,0.0,24.46
2019,1,2,2,0.0,0.0,24.43
2019,1,2,3,0.0,0.0,24.41
2019,1,2,4,0.0,0.0,24.41
2019,1,2,5,8.98,11.6,24.47
2019,1,2,6,127.47,168.15,25.31
2019,1,2,7,292.8,408.92,26.23
2019,1,2,8,476.8,636.3,27.06
